"pŹ", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
12, 4.76625737077200313e+02, 1170825540581, 4.76625737077200199e+02, 2.14843622646030141e+00,    8382763056, 4.76625737077200256e+02, 1.07421811323015071e+00,    5695911457, 4.76625737077200199e+02, 2.14843622646030141e+00,    2803911752, 4.76625737077200256e+02, 1.07421811323015071e+00,    1281590761
13, 4.76620719727527501e+02, 1179710139690, 4.76620719727527501e+02, 0.00000000000000000e+00,    8382879225, 4.76620719727527501e+02, 0.00000000000000000e+00,    5695501720, 4.76620719727527444e+02, 1.07422942144164013e+00,    2801627694, 4.76620719727527387e+02, 2.14845884288328026e+00,    1281362303
14, 4.76638478459587191e+02, 1172774364024, 4.76638478459587191e+02, 0.00000000000000000e+00,    8382909895, 4.76638478459587191e+02, 0.00000000000000000e+00,    5696272271, 4.76638478459587247e+02, 1.07418939749618003e+00,    2801636143, 4.76638478459587191e+02, 0.00000000000000000e+00,    1279310201
15, 4.76618974153100567e+02, 1162034772616, 4.76618974153100567e+02, 0.00000000000000000e+00,    8382903471, 4.76618974153100623e+02, 1.07423335571095890e+00,    5696754415, 4.76618974153100680e+02, 2.14846671142191781e+00,    2804306584, 4.76618974153100680e+02, 2.14846671142191781e+00,    1280558596
16, 4.76622738849536518e+02, 1183628599711, 4.76622738849536518e+02, 0.00000000000000000e+00,    8380370778, 4.76622738849536574e+02, 1.07422487067204653e+00,    5693959135, 4.76622738849536518e+02, 0.00000000000000000e+00,    2805370773, 4.76622738849536574e+02, 1.07422487067204653e+00,    1280250303
17, 4.76620297585980893e+02, 1181617773602, 4.76620297585980836e+02, 1.07423037288426992e+00,    8381517318, 4.76620297585980950e+02, 1.07423037288426992e+00,    5694855648, 4.76620297585980836e+02, 1.07423037288426992e+00,    2804321709, 4.76620297585980893e+02, 0.00000000000000000e+00,    1280171943
18, 4.76623425199514486e+02, 1172621177380, 4.76623425199514486e+02, 0.00000000000000000e+00,    8382715055, 4.76623425199514543e+02, 1.07422332376063312e+00,    5696777920, 4.76623425199514600e+02, 2.14844664752126624e+00,    2802112203, 4.76623425199514543e+02, 1.07422332376063312e+00,    1276437523
19, 4.76623205568991693e+02, 1172068712133, 4.76623205568991693e+02, 0.00000000000000000e+00,    8383167280, 4.76623205568991807e+02, 2.14844763753697476e+00,    5696274626, 4.76623205568991750e+02, 1.07422381876848738e+00,    2799543117, 4.76623205568991636e+02, 1.07422381876848738e+00,    1277497082
20, 4.76630404707996888e+02, 1175008782008, 4.76630404707996945e+02, 1.07420759343641103e+00,    8382662193, 4.76630404707996945e+02, 1.07420759343641103e+00,    5696426829, 4.76630404707996945e+02, 1.07420759343641103e+00,    2803866207, 4.76630404707996831e+02, 1.07420759343641103e+00,    1280708352
21, 4.76614421902408196e+02, 1153730629515, 4.76614421902408196e+02, 0.00000000000000000e+00,    8383543950, 4.76614421902408196e+02, 0.00000000000000000e+00,    5697069673, 4.76614421902408196e+02, 0.00000000000000000e+00,    2803562194, 4.76614421902408196e+02, 0.00000000000000000e+00,    1281748005
22, 4.76630833540030608e+02, 1172558653670, 4.76630833540030608e+02, 0.00000000000000000e+00,    8383935456, 4.76630833540030551e+02, 1.07420662695544822e+00,    5697102589, 4.76630833540030551e+02, 1.07420662695544822e+00,    2804118279, 4.76630833540030437e+02, 3.22261988086634465e+00,    1280872642
23, 4.76619381738069649e+02, 1174525486769, 4.76619381738069592e+02, 1.07423243707150395e+00,    8384446136, 4.76619381738069649e+02, 0.00000000000000000e+00,    5698463474, 4.76619381738069592e+02, 1.07423243707150395e+00,    2800488170, 4.76619381738069592e+02, 1.07423243707150395e+00,    1278307634
24, 4.76625067306026949e+02, 1177058635753, 4.76625067306026949e+02, 0.00000000000000000e+00,    8382429385, 4.76625067306027006e+02, 1.07421962276117511e+00,    5694857692, 4.76625067306027006e+02, 1.07421962276117511e+00,    2804713204, 4.76625067306026949e+02, 0.00000000000000000e+00,    1281151165
25, 4.76620794370425983e+02, 1155237802773, 4.76620794370425983e+02, 0.00000000000000000e+00,    8383155413, 4.76620794370426040e+02, 1.07422925320811236e+00,    5694544849, 4.76620794370425983e+02, 0.00000000000000000e+00,    2799258269, 4.76620794370426097e+02, 2.14845850641622471e+00,    1277266689
26, 4.76618890659023180e+02, 1176644041868, 4.76618890659023180e+02, 0.00000000000000000e+00,    8382744664, 4.76618890659023236e+02, 1.07423354389511339e+00,    5695537533, 4.76618890659023180e+02, 0.00000000000000000e+00,    2803688446, 4.76618890659023236e+02, 1.07423354389511339e+00,    1280021976
27, 4.76618338618855319e+02, 1183671721066, 4.76618338618855319e+02, 0.00000000000000000e+00,    8381606293, 4.76618338618855375e+02, 1.07423478811930240e+00,    5694140675, 4.76618338618855319e+02, 0.00000000000000000e+00,    2803620880, 4.76618338618855319e+02, 0.00000000000000000e+00,    1281154302
28, 4.76626370333542980e+02, 1182521548396, 4.76626370333542980e+02, 0.00000000000000000e+00,    8384080119, 4.76626370333542980e+02, 0.00000000000000000e+00,    5695692241, 4.76626370333542980e+02, 0.00000000000000000e+00,    2802247366, 4.76626370333542923e+02, 1.07421668600019449e+00,    1279692214
