"p≈2/3", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
21, 8.94075321967849414e+12, 590913140075, 8.94075321967849414e+12, 0.00000000000000000e+00,   4624590137, 8.94075321967849219e+12, 1.96764026611268084e+00,   2852125423, 8.94075321967849219e+12, 1.96764026611268084e+00,   1402743130, 8.94075321967849023e+12, 3.93528053222536167e+00,    640773851
22, 8.94026766217288672e+12, 593819254326, 8.94026766217288672e+12, 0.00000000000000000e+00,   4620692490, 8.94026766217288672e+12, 0.00000000000000000e+00,   2851369166, 8.94026766217288672e+12, 0.00000000000000000e+00,   1402505672, 8.94026766217288672e+12, 0.00000000000000000e+00,    640602024
23, 8.94103085508061523e+12, 589594905678, 8.94103085508061523e+12, 0.00000000000000000e+00,   4620417455, 8.94103085508061328e+12, 1.96757916727459747e+00,   2851320424, 8.94103085508061523e+12, 0.00000000000000000e+00,   1402129703, 8.94103085508061328e+12, 1.96757916727459747e+00,    640952163
24, 8.94098721082191211e+12, 592465317327, 8.94098721082191211e+12, 0.00000000000000000e+00,   4620546763, 8.94098721082191016e+12, 1.96758877175474844e+00,   2851259112, 8.94098721082191016e+12, 1.96758877175474844e+00,   1402234384, 8.94098721082191016e+12, 1.96758877175474844e+00,    640390896
25, 8.94065531766704883e+12, 587148127551, 8.94065531766704492e+12, 3.93532362435519056e+00,   4620632171, 8.94065531766704688e+12, 1.96766181217759528e+00,   2851833129, 8.94065531766704492e+12, 3.93532362435519056e+00,   1402254822, 8.94065531766704492e+12, 3.93532362435519056e+00,    640944466
26, 8.94098395054566797e+12, 595405708085, 8.94098395054566602e+12, 1.96758948922420895e+00,   4621019336, 8.94098395054566602e+12, 1.96758948922420895e+00,   2850799961, 8.94098395054566602e+12, 1.96758948922420895e+00,   1401110126, 8.94098395054566602e+12, 1.96758948922420895e+00,    639339086
27, 8.94045329774810352e+12, 591420991518, 8.94045329774810156e+12, 1.96770627377999618e+00,   4621133549, 8.94045329774810156e+12, 1.96770627377999618e+00,   2851841989, 8.94045329774810352e+12, 0.00000000000000000e+00,   1402230095, 8.94045329774810352e+12, 0.00000000000000000e+00,    640399837
28, 8.94151262678037500e+12, 592390754067, 8.94151262678037305e+12, 1.96747315344904083e+00,   4620781415, 8.94151262678037500e+12, 0.00000000000000000e+00,   2850767606, 8.94151262678037305e+12, 1.96747315344904083e+00,   1402059491, 8.94151262678037500e+12, 0.00000000000000000e+00,    640650747
29, 8.94084439960663281e+12, 580893315485, 8.94084439960663086e+12, 1.96762019985383008e+00,   4619651083, 8.94084439960663281e+12, 0.00000000000000000e+00,   2850845076, 8.94084439960663086e+12, 1.96762019985383008e+00,   1402882863, 8.94084439960663086e+12, 1.96762019985383008e+00,    640494506
30, 8.94115449249837500e+12, 576261072183, 8.94115449249837500e+12, 0.00000000000000000e+00,   4620146840, 8.94115449249837500e+12, 0.00000000000000000e+00,   2851609653, 8.94115449249837305e+12, 1.96755195978056707e+00,   1402321556, 8.94115449249837305e+12, 1.96755195978056707e+00,    640893507
