"p≈2/3", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
22, 5.78135608211912988e+12, 595597905655, 5.78135608211912793e+12, 3.04291688568119900e+00,   4640192571, 5.78135608211913086e+12, 1.52145844284059950e+00,   2851716469, 5.78135608211912988e+12, 0.00000000000000000e+00,   1401561359, 5.78135608211912988e+12, 0.00000000000000000e+00,    640660660
23, 5.78145960323140430e+12, 592554865706, 5.78145960323140332e+12, 1.52143120005398647e+00,   4640067081, 5.78145960323140332e+12, 1.52143120005398647e+00,   2851256757, 5.78145960323140234e+12, 3.04286240010797293e+00,   1402076700, 5.78145960323140332e+12, 1.52143120005398647e+00,    641331970
24, 5.78144264778354492e+12, 578935648798, 5.78144264778354492e+12, 0.00000000000000000e+00,   4640862078, 5.78144264778354492e+12, 0.00000000000000000e+00,   2851452178, 5.78144264778354492e+12, 0.00000000000000000e+00,   1401888064, 5.78144264778354492e+12, 0.00000000000000000e+00,    639920750
25, 5.78138380535199414e+12, 593309436278, 5.78138380535199316e+12, 1.52145114705327167e+00,   4641296482, 5.78138380535199316e+12, 1.52145114705327167e+00,   2850928097, 5.78138380535199316e+12, 1.52145114705327167e+00,   1402638779, 5.78138380535199316e+12, 1.52145114705327167e+00,    640672266
26, 5.78142479073379980e+12, 589169584264, 5.78142479073380176e+12, 3.04288072251877129e+00,   4639225737, 5.78142479073379980e+12, 0.00000000000000000e+00,   2851019098, 5.78142479073379980e+12, 0.00000000000000000e+00,   1402104986, 5.78142479073379980e+12, 0.00000000000000000e+00,    640839693
27, 5.78139893770177930e+12, 591427484964, 5.78139893770177930e+12, 0.00000000000000000e+00,   4640216286, 5.78139893770178027e+12, 1.52144716477645825e+00,   2851916071, 5.78139893770178027e+12, 1.52144716477645825e+00,   1402596942, 5.78139893770177930e+12, 0.00000000000000000e+00,    641422290
28, 5.78138335988612500e+12, 591887642886, 5.78138335988612500e+12, 0.00000000000000000e+00,   4640207997, 5.78138335988612500e+12, 0.00000000000000000e+00,   2852370370, 5.78138335988612500e+12, 0.00000000000000000e+00,   1402654034, 5.78138335988612402e+12, 1.52145126428378807e+00,    641080078
29, 5.78159267660619824e+12, 592066940508, 5.78159267660619727e+12, 1.52139618167831858e+00,   4640516369, 5.78159267660619824e+12, 0.00000000000000000e+00,   2851153588, 5.78159267660619922e+12, 1.52139618167831858e+00,   1402999612, 5.78159267660619727e+12, 1.52139618167831858e+00,    640838210
30, 5.78144970924478906e+12, 590225740882, 5.78144970924478809e+12, 1.52143380372965376e+00,   4640889962, 5.78144970924478906e+12, 0.00000000000000000e+00,   2851021553, 5.78144970924478809e+12, 1.52143380372965376e+00,   1401975577, 5.78144970924478906e+12, 0.00000000000000000e+00,    640536693
31, 5.78151115137555469e+12, 594861694798, 5.78151115137555371e+12, 1.52141763492321669e+00,   4640818427, 5.78151115137555566e+12, 1.52141763492321669e+00,   2851607336, 5.78151115137555566e+12, 1.52141763492321669e+00,   1401884566, 5.78151115137555469e+12, 0.00000000000000000e+00,    641143395
