"p=1/2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
20, 7.79362690380294400e+17, 780422001068, 7.79362690380294272e+17, 1.47931318606523554e+00,   9462997282, 7.79362690380294528e+17, 1.47931318606523554e+00,   5696068591, 7.79362690380294528e+17, 1.47931318606523554e+00,   2803142655, 7.79362690380294400e+17, 0.00000000000000000e+00,   1280446176
21, 7.79370170617031296e+17, 769786738023, 7.79370170617031296e+17, 0.00000000000000000e+00,   9468740073, 7.79370170617031040e+17, 2.95859797583495698e+00,   5697958166, 7.79370170617031168e+17, 1.47929898791747849e+00,   2803005568, 7.79370170617031296e+17, 0.00000000000000000e+00,   1279569350
22, 7.79304489774734080e+17, 760718345783, 7.79304489774734080e+17, 0.00000000000000000e+00,   9470889109, 7.79304489774734080e+17, 0.00000000000000000e+00,   5696297239, 7.79304489774734080e+17, 0.00000000000000000e+00,   2803833491, 7.79304489774733952e+17, 1.47942366524811209e+00,   1280013215
23, 7.79362154372705280e+17, 794953121624, 7.79362154372705280e+17, 0.00000000000000000e+00,   9468438045, 7.79362154372705152e+17, 1.47931420346528508e+00,   5695541021, 7.79362154372705280e+17, 0.00000000000000000e+00,   2802693546, 7.79362154372705280e+17, 0.00000000000000000e+00,   1281173316
24, 7.79368500351972224e+17, 765005023643, 7.79368500351972224e+17, 0.00000000000000000e+00,   9467463843, 7.79368500351972096e+17, 1.47930215820394806e+00,   5695795038, 7.79368500351972352e+17, 1.47930215820394806e+00,   2801421277, 7.79368500351971968e+17, 2.95860431640789612e+00,   1279045068
25, 7.79350802293492352e+17, 791010283610, 7.79350802293492352e+17, 0.00000000000000000e+00,   9460020343, 7.79350802293492224e+17, 1.47933575126118022e+00,   5694804479, 7.79350802293492480e+17, 1.47933575126118022e+00,   2805598429, 7.79350802293492480e+17, 1.47933575126118022e+00,   1280993771
26, 7.79345236563211008e+17, 788894705600, 7.79345236563211008e+17, 0.00000000000000000e+00,   9465559945, 7.79345236563210880e+17, 1.47934631600630317e+00,   5694572894, 7.79345236563211008e+17, 0.00000000000000000e+00,   2802842151, 7.79345236563210880e+17, 1.47934631600630317e+00,   1279527463
27, 7.79341829245366400e+17, 767233807227, 7.79341829245366656e+17, 2.95870556755106096e+00,   9463381430, 7.79341829245366656e+17, 2.95870556755106096e+00,   5696109595, 7.79341829245366528e+17, 1.47935278377553048e+00,   2803401512, 7.79341829245366656e+17, 2.95870556755106096e+00,   1279254753
28, 7.79398601530295552e+17, 783623870240, 7.79398601530295680e+17, 1.47924502602797192e+00,   9466783672, 7.79398601530295552e+17, 0.00000000000000000e+00,   5696677848, 7.79398601530295552e+17, 0.00000000000000000e+00,   2802397773, 7.79398601530295424e+17, 1.47924502602797192e+00,   1278321185
29, 7.79375065660624640e+17, 759779445572, 7.79375065660624512e+17, 1.47928969684139400e+00,   9470209960, 7.79375065660624640e+17, 0.00000000000000000e+00,   5695924367, 7.79375065660624640e+17, 0.00000000000000000e+00,   2800317707, 7.79375065660624512e+17, 1.47928969684139400e+00,   1277817742
30, 7.79346349708838272e+17, 763220025848, 7.79346349708838144e+17, 1.47934420304602110e+00,   9466958958, 7.79346349708838016e+17, 2.95868840609204220e+00,   5698615395, 7.79346349708838400e+17, 1.47934420304602110e+00,   2805960877, 7.79346349708838272e+17, 0.00000000000000000e+00,   1281267294
31, 7.79331101194952320e+17, 792605041548, 7.79331101194952320e+17, 0.00000000000000000e+00,   9468472094, 7.79331101194952576e+17, 2.95874629625089147e+00,   5695874021, 7.79331101194952448e+17, 1.47937314812544574e+00,   2800986803, 7.79331101194952448e+17, 1.47937314812544574e+00,   1278317838
