"pŹ", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
12, 7.15404208061078634e+02, 590351418949, 7.15404208061078634e+02, 0.00000000000000000e+00, 4187030955, 7.15404208061078748e+02, 1.43135864796670953e+00, 2857847316, 7.15404208061078634e+02, 0.00000000000000000e+00, 1401550143, 7.15404208061078634e+02, 0.00000000000000000e+00, 641593585
13, 7.15456774907312024e+02, 586293208953, 7.15456774907312024e+02, 0.00000000000000000e+00, 4186335137, 7.15456774907312024e+02, 0.00000000000000000e+00, 2858175304, 7.15456774907312024e+02, 0.00000000000000000e+00, 1401626460, 7.15456774907312024e+02, 0.00000000000000000e+00, 641680366
14, 7.15440040271792213e+02, 586542819284, 7.15440040271792213e+02, 0.00000000000000000e+00, 4186135305, 7.15440040271792213e+02, 0.00000000000000000e+00, 2855830516, 7.15440040271792213e+02, 0.00000000000000000e+00, 1401183626, 7.15440040271792100e+02, 1.43128695957663665e+00, 641352869
15, 7.15420069959326270e+02, 573520341050, 7.15420069959326383e+02, 1.43132691267414036e+00, 4186413167, 7.15420069959326383e+02, 1.43132691267414036e+00, 2857457666, 7.15420069959326383e+02, 1.43132691267414036e+00, 1402006258, 7.15420069959326497e+02, 2.86265382534828072e+00, 641548030
16, 7.15388597493657016e+02, 585640070701, 7.15388597493657016e+02, 0.00000000000000000e+00, 4187350904, 7.15388597493657130e+02, 1.43138988178949722e+00, 2856601808, 7.15388597493657016e+02, 0.00000000000000000e+00, 1401634729, 7.15388597493657244e+02, 2.86277976357899444e+00, 642082966
17, 7.15394446316736435e+02, 578025453266, 7.15394446316736435e+02, 0.00000000000000000e+00, 4187597745, 7.15394446316736435e+02, 0.00000000000000000e+00, 2857400775, 7.15394446316736435e+02, 0.00000000000000000e+00, 1402067499, 7.15394446316736321e+02, 1.43137817922985433e+00, 641842059
18, 7.15405853591499977e+02, 585605430625, 7.15405853591500090e+02, 1.43135535564782890e+00, 4186896985, 7.15405853591500090e+02, 1.43135535564782890e+00, 2856790374, 7.15405853591500090e+02, 1.43135535564782890e+00, 1401793105, 7.15405853591500090e+02, 1.43135535564782890e+00, 641820900
19, 7.15410117678191796e+02, 586077733873, 7.15410117678191796e+02, 0.00000000000000000e+00, 4187435089, 7.15410117678191796e+02, 0.00000000000000000e+00, 2856618767, 7.15410117678191682e+02, 1.43134682428494697e+00, 1401776817, 7.15410117678191682e+02, 1.43134682428494697e+00, 642381716
20, 7.15389077450724812e+02, 590564565859, 7.15389077450724812e+02, 0.00000000000000000e+00, 4187401571, 7.15389077450724926e+02, 1.43138892146495200e+00, 2856745370, 7.15389077450724926e+02, 1.43138892146495200e+00, 1402323410, 7.15389077450724699e+02, 1.43138892146495200e+00, 642051603
21, 7.15386760655604917e+02, 591617184501, 7.15386760655604917e+02, 0.00000000000000000e+00, 4186756962, 7.15386760655604917e+02, 0.00000000000000000e+00, 2856681713, 7.15386760655604917e+02, 0.00000000000000000e+00, 1401539859, 7.15386760655604917e+02, 0.00000000000000000e+00, 639951390
22, 7.15368255722644562e+02, 585068804870, 7.15368255722644562e+02, 0.00000000000000000e+00, 4187537786, 7.15368255722644335e+02, 2.86286116782071787e+00, 2856339421, 7.15368255722644676e+02, 1.43143058391035893e+00, 1401476343, 7.15368255722644676e+02, 1.43143058391035893e+00, 641503677
