"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
11, 189489026904977, 1.89186086729071758e+04, 0.00000000000000000e+00, 6204402452042, 1.89186086728986011e+04, 4.08244482114612174e+03, 20452039761, 1.89186086729071721e+04, 1.73205126056263103e+00, 182871604755, 1.89186086729071721e+04, 1.73205126056263103e+00, 91314602604, 1.89186086729071758e+04, 0.00000000000000000e+00, 87343047041, 1.89186086729071758e+04, 0.00000000000000000e+00, 38652715889, 1.89186086729071758e+04, 0.00000000000000000e+00, 20405411042, 1.89186086729071758e+04, 0.00000000000000000e+00, 10757162942, 1.89186086728817427e+04, 1.21087703625933536e+04, 211465541800
12, 261677460603461, 1.89188475846966139e+04, 0.00000000000000000e+00, 6203622007260, 1.89188475846845213e+04, 5.75726568504657007e+03, 20473488916, 1.89188475846966139e+04, 0.00000000000000000e+00, 182878585587, 1.89188475846966139e+04, 0.00000000000000000e+00, 91353083035, 1.89188475846966139e+04, 0.00000000000000000e+00, 87348213418, 1.89188475846966176e+04, 1.73202938779981053e+00, 38730424399, 1.89188475846966103e+04, 1.73202938779981053e+00, 20111910290, 1.89188475846966139e+04, 0.00000000000000000e+00, 10816603056, 1.89188475846446127e+04, 2.47576280692104920e+04, 211170729056
13, 196194720220788, 1.89186219208437578e+04, 0.00000000000000000e+00, 6204395079014, 1.89186219208453076e+04, 7.37853320310839536e+02, 20474652996, 1.89186219208437578e+04, 0.00000000000000000e+00, 182978919959, 1.89186219208437578e+04, 0.00000000000000000e+00, 91358040650, 1.89186219208437542e+04, 1.73205004767802717e+00, 87386587213, 1.89186219208437578e+04, 0.00000000000000000e+00, 38679056698, 1.89186219208437578e+04, 0.00000000000000000e+00, 20409502436, 1.89186219208437578e+04, 0.00000000000000000e+00, 10783174168, 1.89186219208099283e+04, 1.61063333933579743e+04, 211254049503
14,  11625128473918, 1.89193593915361416e+04, 0.00000000000000000e+00, 6203631892051, 1.89193593915233359e+04, 6.09657851584555101e+03, 20485828150, 1.89193593915361416e+04, 0.00000000000000000e+00, 183213696682, 1.89193593915361453e+04, 1.73198253291066795e+00, 91513155681, 1.89193593915361416e+04, 0.00000000000000000e+00, 87579342592, 1.89193593915361416e+04, 0.00000000000000000e+00, 38766798703, 1.89193593915361416e+04, 0.00000000000000000e+00, 20324724091, 1.89193593915361453e+04, 1.73198253291066795e+00, 10843011290, 1.89193593915183410e+04, 8.47459053353189847e+03, 211499074999
15, 102881259758035, 1.89185219429497556e+04, 0.00000000000000000e+00, 6210200592620, 1.89185219429390054e+04, 5.11823493886026336e+03, 20541089638, 1.89185219429497520e+04, 1.73205920096794030e+00, 183306215104, 1.89185219429497556e+04, 0.00000000000000000e+00, 91467771517, 1.89185219429497520e+04, 1.73205920096794030e+00, 87496764290, 1.89185219429497520e+04, 1.73205920096794030e+00, 38668210685, 1.89185219429497556e+04, 0.00000000000000000e+00, 20400124846, 1.89185219429497556e+04, 0.00000000000000000e+00, 10741191945, 1.89185219429246063e+04, 1.19737252562913709e+04, 211189559359
16,  22363808349355, 1.89186871533975245e+04, 0.00000000000000000e+00, 6205360813224, 1.89186871533859703e+04, 5.50097198374097115e+03, 20481686609, 1.89186871533975245e+04, 0.00000000000000000e+00, 182903114618, 1.89186871533975245e+04, 0.00000000000000000e+00, 91378020260, 1.89186871533975245e+04, 0.00000000000000000e+00, 87372968543, 1.89186871533975245e+04, 0.00000000000000000e+00, 38690645358, 1.89186871533975245e+04, 0.00000000000000000e+00, 20438168949, 1.89186871533975245e+04, 0.00000000000000000e+00, 10813665558, 1.89186871533819321e+04, 7.42354090752953380e+03, 211241882217
17, 107432400246448, 1.89185392954785930e+04, 0.00000000000000000e+00, 6203249704733, 1.89185392954648523e+04, 6.54198160159114195e+03, 20473118741, 1.89185392954785966e+04, 1.73205761228253685e+00, 182892067391, 1.89185392954785966e+04, 1.73205761228253685e+00, 91279664679, 1.89185392954785930e+04, 0.00000000000000000e+00, 87387421751, 1.89185392954785930e+04, 0.00000000000000000e+00, 38670123495, 1.89185392954785966e+04, 1.73205761228253685e+00, 20443124841, 1.89185392954785930e+04, 0.00000000000000000e+00, 10770400661, 1.89185392954329727e+04, 2.17200024580230129e+04, 211117834147
18, 223413620295979, 1.89186475494755396e+04, 0.00000000000000000e+00, 6203893490133, 1.89186475494628430e+04, 6.04484647757869334e+03, 20464051368, 1.89186475494755396e+04, 0.00000000000000000e+00, 182918650609, 1.89186475494755396e+04, 0.00000000000000000e+00, 91363724304, 1.89186475494755396e+04, 0.00000000000000000e+00, 87381058487, 1.89186475494755432e+04, 1.73204770131194663e+00, 38673105406, 1.89186475494755396e+04, 0.00000000000000000e+00, 20416030260, 1.89186475494755396e+04, 0.00000000000000000e+00, 10771370462, 1.89186475494453698e+04, 1.43638715869799726e+04, 211124500321
19,  38718330254922, 1.89187047502923961e+04, 0.00000000000000000e+00, 6203995082031, 1.89187047502730966e+04, 9.18848527393575023e+03, 20475299851, 1.89187047502923961e+04, 0.00000000000000000e+00, 182899205986, 1.89187047502923997e+04, 1.73204246445537224e+00, 91294617763, 1.89187047502923961e+04, 0.00000000000000000e+00, 87365769688, 1.89187047502923961e+04, 0.00000000000000000e+00, 38674339758, 1.89187047502923961e+04, 0.00000000000000000e+00, 20426231975, 1.89187047502923961e+04, 0.00000000000000000e+00, 10769399007, 1.89187047502580717e+04, 1.63418206521364373e+04, 211134986974
20,  69349230660948, 1.89189794296493128e+04, 0.00000000000000000e+00, 6202323531500, 1.89189794296428190e+04, 3.09165091158853284e+03, 20462238569, 1.89189794296493128e+04, 0.00000000000000000e+00, 182862525675, 1.89189794296493128e+04, 0.00000000000000000e+00, 91333184513, 1.89189794296493128e+04, 0.00000000000000000e+00, 87365710531, 1.89189794296493128e+04, 0.00000000000000000e+00, 38667306666, 1.89189794296493164e+04, 1.73201731741654497e+00, 20392815205, 1.89189794296493128e+04, 0.00000000000000000e+00, 10804444229, 1.89189794296054570e+04, 2.08794687614564500e+04, 211120542917
