"pŹ", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
17, 8.92019854422479625e+02, 1190226082891, 8.92019854422479852e+02, 2.29591302239111750e+00,    8360814518, 8.92019854422479625e+02, 0.00000000000000000e+00,    5696402722, 8.92019854422479625e+02, 0.00000000000000000e+00,    2804200309, 8.92019854422479739e+02, 1.14795651119555875e+00,    1280539883
18, 8.92021535878491818e+02, 1188754556958, 8.92021535878491818e+02, 0.00000000000000000e+00,    8359981232, 8.92021535878491704e+02, 1.14795434730343304e+00,    5696157445, 8.92021535878491818e+02, 0.00000000000000000e+00,    2800658124, 8.92021535878491704e+02, 1.14795434730343304e+00,    1278254281
19, 8.92015251583880513e+02, 1190604858566, 8.92015251583880399e+02, 1.14796243470250614e+00,    8361266653, 8.92015251583880513e+02, 0.00000000000000000e+00,    5695849364, 8.92015251583880513e+02, 0.00000000000000000e+00,    2799940225, 8.92015251583880513e+02, 0.00000000000000000e+00,    1277042411
20, 8.92033380778798346e+02, 1179187089665, 8.92033380778798232e+02, 1.14793910414651412e+00,    8361187369, 8.92033380778798460e+02, 1.14793910414651412e+00,    5694663844, 8.92033380778798232e+02, 1.14793910414651412e+00,    2802079668, 8.92033380778798346e+02, 0.00000000000000000e+00,    1280273127
21, 8.92032148310640423e+02, 1171139439438, 8.92032148310640309e+02, 1.14794069018620526e+00,    8362259908, 8.92032148310640309e+02, 1.14794069018620526e+00,    5697265637, 8.92032148310640423e+02, 0.00000000000000000e+00,    2804545386, 8.92032148310640309e+02, 1.14794069018620526e+00,    1280818005
22, 8.91970480258191742e+02, 1160326519273, 8.91970480258191628e+02, 1.14802005521930583e+00,    8359391780, 8.91970480258191628e+02, 1.14802005521930583e+00,    5695116270, 8.91970480258191742e+02, 0.00000000000000000e+00,    2799419411, 8.91970480258191856e+02, 1.14802005521930583e+00,    1276315350
23, 8.92026144623194227e+02, 1195006300542, 8.92026144623194341e+02, 1.14794841627938338e+00,    8361546209, 8.92026144623194227e+02, 0.00000000000000000e+00,    5696435478, 8.92026144623194227e+02, 0.00000000000000000e+00,    2803918186, 8.92026144623194341e+02, 1.14794841627938338e+00,    1280101690
24, 8.91995478955672752e+02, 1166416480621, 8.91995478955672752e+02, 0.00000000000000000e+00,    8360049169, 8.91995478955672752e+02, 0.00000000000000000e+00,    5695218225, 8.91995478955672752e+02, 0.00000000000000000e+00,    2803211202, 8.91995478955672752e+02, 0.00000000000000000e+00,    1280115021
25, 8.92020585613786579e+02, 1190176813459, 8.92020585613786466e+02, 1.14795557021299044e+00,    8360312186, 8.92020585613786807e+02, 2.29591114042598088e+00,    5693906555, 8.92020585613786579e+02, 0.00000000000000000e+00,    2805279352, 8.92020585613786579e+02, 0.00000000000000000e+00,    1280618625
26, 8.92006709691538845e+02, 1188976843818, 8.92006709691538958e+02, 1.14797342763722621e+00,    8361937983, 8.92006709691538845e+02, 0.00000000000000000e+00,    5696206790, 8.92006709691538958e+02, 1.14797342763722621e+00,    2802053107, 8.92006709691538958e+02, 1.14797342763722621e+00,    1280828690
