"p=1/2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
18, 1.94831984468785408e+17, 391580624071, 1.94831984468785376e+17, 1.47937915295365663e+00,   4738336402, 1.94831984468785440e+17, 1.47937915295365663e+00,   2855693780, 1.94831984468785408e+17, 0.00000000000000000e+00,   1402898139, 1.94831984468785408e+17, 0.00000000000000000e+00,    641285243
19, 1.94840483939490912e+17, 396883547701, 1.94840483939490912e+17, 0.00000000000000000e+00,   4736906948, 1.94840483939490880e+17, 1.47931461841997747e+00,   2852160244, 1.94840483939490848e+17, 2.95862923683995493e+00,   1402683913, 1.94840483939490880e+17, 1.47931461841997747e+00,    640810245
20, 1.94832095307370816e+17, 391630360292, 1.94832095307370816e+17, 0.00000000000000000e+00,   4737265958, 1.94832095307370816e+17, 0.00000000000000000e+00,   2851986032, 1.94832095307370848e+17, 1.47937831134543840e+00,   1400993988, 1.94832095307370816e+17, 0.00000000000000000e+00,    639085208
21, 1.94837641356411520e+17, 393660213347, 1.94837641356411520e+17, 0.00000000000000000e+00,   4737716569, 1.94837641356411456e+17, 2.95867240175074064e+00,   2850992376, 1.94837641356411488e+17, 1.47933620087537032e+00,   1403810366, 1.94837641356411552e+17, 1.47933620087537032e+00,    640533264
22, 1.94826306090611200e+17, 396469769783, 1.94826306090611232e+17, 1.47942227071563681e+00,   4739407817, 1.94826306090611200e+17, 0.00000000000000000e+00,   2851858337, 1.94826306090611232e+17, 1.47942227071563681e+00,   1402618091, 1.94826306090611200e+17, 0.00000000000000000e+00,    642631734
23, 1.94843592389232736e+17, 392586549995, 1.94843592389232736e+17, 0.00000000000000000e+00,   4736543098, 1.94843592389232736e+17, 0.00000000000000000e+00,   2852232922, 1.94843592389232768e+17, 1.47929101807937946e+00,   1403375101, 1.94843592389232736e+17, 0.00000000000000000e+00,    640059811
24, 1.94842676999722976e+17, 394870584775, 1.94842676999722976e+17, 0.00000000000000000e+00,   4738455988, 1.94842676999722976e+17, 0.00000000000000000e+00,   2852098933, 1.94842676999722976e+17, 0.00000000000000000e+00,   1403142332, 1.94842676999723008e+17, 1.47929796792989832e+00,    641179317
25, 1.94834285323122048e+17, 390726126086, 1.94834285323122048e+17, 0.00000000000000000e+00,   4738799782, 1.94834285323122016e+17, 1.47936168253804690e+00,   2852101379, 1.94834285323122048e+17, 0.00000000000000000e+00,   1403585667, 1.94834285323122016e+17, 1.47936168253804690e+00,    645332675
26, 1.94843086260030848e+17, 397492164483, 1.94843086260030848e+17, 0.00000000000000000e+00,   4738991215, 1.94843086260030848e+17, 0.00000000000000000e+00,   2852260877, 1.94843086260030912e+17, 2.95858972144435706e+00,   1403371552, 1.94843086260030816e+17, 1.47929486072217853e+00,    640818113
27, 1.94830617053074528e+17, 394345587622, 1.94830617053074496e+17, 1.47938953595365263e+00,   4739460921, 1.94830617053074528e+17, 0.00000000000000000e+00,   2851365568, 1.94830617053074560e+17, 1.47938953595365263e+00,   1402486227, 1.94830617053074496e+17, 1.47938953595365263e+00,    641288791
28, 1.94853695499685856e+17, 392464779799, 1.94853695499685888e+17, 1.47921431724745722e+00,   4739925725, 1.94853695499685856e+17, 0.00000000000000000e+00,   2851601423, 1.94853695499685952e+17, 4.43764295174237144e+00,   1402697475, 1.94853695499685856e+17, 0.00000000000000000e+00,    640455796
29, 1.94838325736661600e+17, 382679228649, 1.94838325736661600e+17, 0.00000000000000000e+00,   4736681056, 1.94838325736661568e+17, 1.47933100462624800e+00,   2851789829, 1.94838325736661568e+17, 1.47933100462624800e+00,   1402587530, 1.94838325736661600e+17, 0.00000000000000000e+00,    641189311
30, 1.94846879159640512e+17, 378872164050, 1.94846879159640512e+17, 0.00000000000000000e+00,   4738707509, 1.94846879159640480e+17, 1.47926606469052535e+00,   2851561992, 1.94846879159640512e+17, 0.00000000000000000e+00,   1402979256, 1.94846879159640544e+17, 1.47926606469052535e+00,    640565058
31, 1.94831169137142912e+17, 390412420967, 1.94831169137142912e+17, 0.00000000000000000e+00,   4737190183, 1.94831169137142912e+17, 0.00000000000000000e+00,   2850692262, 1.94831169137142912e+17, 0.00000000000000000e+00,   1402910005, 1.94831169137142912e+17, 0.00000000000000000e+00,    640424744
