"p=∞", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
11, 9.99999998552414837e-01, 2045691376, 9.99999998552414837e-01, 0.00000000000000000e+00,  608609705, 9.99999998552414837e-01, 0.00000000000000000e+00,  305508820, 9.99999998552414837e-01, 0.00000000000000000e+00,  163053233, 9.99999998552414837e-01, 0.00000000000000000e+00,   85473693
12, 9.99999999375983606e-01, 2037693204, 9.99999999375983606e-01, 0.00000000000000000e+00,  608250606, 9.99999999375983606e-01, 0.00000000000000000e+00,  305661363, 9.99999999375983606e-01, 0.00000000000000000e+00,  162753622, 9.99999999375983606e-01, 0.00000000000000000e+00,   85456904
13, 9.99999998618090302e-01, 2044596015, 9.99999998618090302e-01, 0.00000000000000000e+00,  613427448, 9.99999998618090302e-01, 0.00000000000000000e+00,  305695692, 9.99999998618090302e-01, 0.00000000000000000e+00,  162931713, 9.99999998618090302e-01, 0.00000000000000000e+00,   85521262
14, 9.99999999872432710e-01, 2042861737, 9.99999999872432710e-01, 0.00000000000000000e+00,  608302876, 9.99999999872432710e-01, 0.00000000000000000e+00,  305740295, 9.99999999872432710e-01, 0.00000000000000000e+00,  162611703, 9.99999999872432710e-01, 0.00000000000000000e+00,   85493729
15, 9.99999997384652062e-01, 2045547172, 9.99999997384652062e-01, 0.00000000000000000e+00,  608145093, 9.99999997384652062e-01, 0.00000000000000000e+00,  305387399, 9.99999997384652062e-01, 0.00000000000000000e+00,  163135112, 9.99999997384652062e-01, 0.00000000000000000e+00,   87157694
16, 9.99999999886444613e-01, 2058617284, 9.99999999886444613e-01, 0.00000000000000000e+00,  608597879, 9.99999999886444613e-01, 0.00000000000000000e+00,  305397542, 9.99999999886444613e-01, 0.00000000000000000e+00,  162691007, 9.99999999886444613e-01, 0.00000000000000000e+00,   85517474
17, 9.99999997932999207e-01, 2047003007, 9.99999997932999207e-01, 0.00000000000000000e+00,  608520800, 9.99999997932999207e-01, 0.00000000000000000e+00,  305586599, 9.99999997932999207e-01, 0.00000000000000000e+00,  162690034, 9.99999997932999207e-01, 0.00000000000000000e+00,   85415699
18, 9.99999998770658038e-01, 2041095606, 9.99999998770658038e-01, 0.00000000000000000e+00,  608945291, 9.99999998770658038e-01, 0.00000000000000000e+00,  305505423, 9.99999998770658038e-01, 0.00000000000000000e+00,  162910484, 9.99999998770658038e-01, 0.00000000000000000e+00,   86655604
19, 9.99999995871501568e-01, 2046054184, 9.99999995871501568e-01, 0.00000000000000000e+00,  610186550, 9.99999995871501568e-01, 0.00000000000000000e+00,  305621751, 9.99999995871501568e-01, 0.00000000000000000e+00,  162822971, 9.99999995871501568e-01, 0.00000000000000000e+00,   85481521
20, 9.99999999865554656e-01, 2044676611, 9.99999999865554656e-01, 0.00000000000000000e+00,  608094215, 9.99999999865554656e-01, 0.00000000000000000e+00,  305635012, 9.99999999865554656e-01, 0.00000000000000000e+00,  162749693, 9.99999999865554656e-01, 0.00000000000000000e+00,   85484147
21, 9.99999999826886921e-01, 2040251535, 9.99999999826886921e-01, 0.00000000000000000e+00,  608427825, 9.99999999826886921e-01, 0.00000000000000000e+00,  305582159, 9.99999999826886921e-01, 0.00000000000000000e+00,  162799287, 9.99999999826886921e-01, 0.00000000000000000e+00,   85375536
22, 9.99999999928906647e-01, 2048656538, 9.99999999928906647e-01, 0.00000000000000000e+00,  608058282, 9.99999999928906647e-01, 0.00000000000000000e+00,  305501664, 9.99999999928906647e-01, 0.00000000000000000e+00,  162843389, 9.99999999928906647e-01, 0.00000000000000000e+00,   85580669
23, 9.99999999788240501e-01, 2047398260, 9.99999999788240501e-01, 0.00000000000000000e+00,  608197713, 9.99999999788240501e-01, 0.00000000000000000e+00,  305651429, 9.99999999788240501e-01, 0.00000000000000000e+00,  162884814, 9.99999999788240501e-01, 0.00000000000000000e+00,   85451681
24, 9.99999999678731655e-01, 2051214268, 9.99999999678731655e-01, 0.00000000000000000e+00,  608314844, 9.99999999678731655e-01, 0.00000000000000000e+00,  305291528, 9.99999999678731655e-01, 0.00000000000000000e+00,  162859556, 9.99999999678731655e-01, 0.00000000000000000e+00,   85514798
25, 9.99999998755736641e-01, 2044455770, 9.99999998755736641e-01, 0.00000000000000000e+00,  609288464, 9.99999998755736641e-01, 0.00000000000000000e+00,  305337104, 9.99999998755736641e-01, 0.00000000000000000e+00,  162911476, 9.99999998755736641e-01, 0.00000000000000000e+00,   85741381
26, 9.99999997891297454e-01, 2046856598, 9.99999997891297454e-01, 0.00000000000000000e+00,  607957188, 9.99999997891297454e-01, 0.00000000000000000e+00,  305537897, 9.99999997891297454e-01, 0.00000000000000000e+00,  163009894, 9.99999997891297454e-01, 0.00000000000000000e+00,   85527857
27, 9.99999998302303794e-01, 2041980670, 9.99999998302303794e-01, 0.00000000000000000e+00,  608036000, 9.99999998302303794e-01, 0.00000000000000000e+00,  305435270, 9.99999998302303794e-01, 0.00000000000000000e+00,  163048071, 9.99999998302303794e-01, 0.00000000000000000e+00,   85599854
28, 9.99999998714020677e-01, 2043068003, 9.99999998714020677e-01, 0.00000000000000000e+00,  608312209, 9.99999998714020677e-01, 0.00000000000000000e+00,  305760311, 9.99999998714020677e-01, 0.00000000000000000e+00,  162806834, 9.99999998714020677e-01, 0.00000000000000000e+00,   85306236
29, 9.99999998921349942e-01, 2041670744, 9.99999998921349942e-01, 0.00000000000000000e+00,  608320297, 9.99999998921349942e-01, 0.00000000000000000e+00,  305464287, 9.99999998921349942e-01, 0.00000000000000000e+00,  162806854, 9.99999998921349942e-01, 0.00000000000000000e+00,   85420459
30, 9.99999999279932439e-01, 2053728167, 9.99999999279932439e-01, 0.00000000000000000e+00,  612845574, 9.99999999279932439e-01, 0.00000000000000000e+00,  304653033, 9.99999999279932439e-01, 0.00000000000000000e+00,  163051930, 9.99999999279932439e-01, 0.00000000000000000e+00,   85473994
31, 9.99999999362618297e-01, 2044021006, 9.99999999362618297e-01, 0.00000000000000000e+00,  609345386, 9.99999999362618297e-01, 0.00000000000000000e+00,  305591170, 9.99999999362618297e-01, 0.00000000000000000e+00,  162769348, 9.99999999362618297e-01, 0.00000000000000000e+00,   85453436
