"p=1", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
11, 4.28344767340528905e+08, 4735770262, 4.28344767340528905e+08, 0.00000000000000000e+00,  613289069, 4.28344767340528965e+08, 1.25336166782958291e+00,  315216212, 4.28344767340528905e+08, 0.00000000000000000e+00,  166886732, 4.28344767340528905e+08, 0.00000000000000000e+00,   89711666
12, 4.28361060398214042e+08, 4737212796, 4.28361060398214042e+08, 0.00000000000000000e+00,  613996765, 4.28361060398214042e+08, 0.00000000000000000e+00,  315255011, 4.28361060398213983e+08, 1.25331399520981845e+00,  167290394, 4.28361060398214042e+08, 0.00000000000000000e+00,   89361818
13, 4.28360586948746204e+08, 4696415260, 4.28360586948746204e+08, 0.00000000000000000e+00,  613601501, 4.28360586948746204e+08, 0.00000000000000000e+00,  315141911, 4.28360586948746204e+08, 0.00000000000000000e+00,  167216223, 4.28360586948746204e+08, 0.00000000000000000e+00,   90037529
14, 4.28382565555196285e+08, 4698689877, 4.28382565555196285e+08, 0.00000000000000000e+00,  613849644, 4.28382565555196285e+08, 0.00000000000000000e+00,  315733507, 4.28382565555196285e+08, 0.00000000000000000e+00,  167163220, 4.28382565555196285e+08, 0.00000000000000000e+00,   90758996
15, 4.28364089800337076e+08, 4675700162, 4.28364089800337076e+08, 0.00000000000000000e+00,  613689113, 4.28364089800337076e+08, 0.00000000000000000e+00,  315132789, 4.28364089800337076e+08, 0.00000000000000000e+00,  166919457, 4.28364089800337076e+08, 0.00000000000000000e+00,   89810705
16, 4.28357041818581939e+08, 4732859405, 4.28357041818581939e+08, 0.00000000000000000e+00,  613973239, 4.28357041818581879e+08, 1.25332575302304927e+00,  315133701, 4.28357041818581939e+08, 0.00000000000000000e+00,  166942872, 4.28357041818581879e+08, 1.25332575302304927e+00,   88310718
17, 4.28357980809784412e+08, 4737357490, 4.28357980809784412e+08, 0.00000000000000000e+00,  613502752, 4.28357980809784353e+08, 1.25332300564373411e+00,  315049006, 4.28357980809784412e+08, 0.00000000000000000e+00,  167057066, 4.28357980809784412e+08, 0.00000000000000000e+00,   90595749
18, 4.28351843450523496e+08, 4726187598, 4.28351843450523555e+08, 1.25334096306278875e+00,  613672014, 4.28351843450523496e+08, 0.00000000000000000e+00,  315391036, 4.28351843450523496e+08, 0.00000000000000000e+00,  166924840, 4.28351843450523496e+08, 0.00000000000000000e+00,   88529293
19, 4.28362713663787067e+08, 4704967754, 4.28362713663787067e+08, 0.00000000000000000e+00,  614128088, 4.28362713663787067e+08, 0.00000000000000000e+00,  315073923, 4.28362713663787067e+08, 0.00000000000000000e+00,  166933810, 4.28362713663787127e+08, 1.25330915804539123e+00,   90354671
20, 4.28346995297590673e+08, 4722247794, 4.28346995297590673e+08, 0.00000000000000000e+00,  613909954, 4.28346995297590613e+08, 1.25335514873172671e+00,  314983294, 4.28346995297590613e+08, 1.25335514873172671e+00,  166945137, 4.28346995297590673e+08, 0.00000000000000000e+00,   90240458
21, 4.28356703941613495e+08, 4728547983, 4.28356703941613555e+08, 1.25332674161480462e+00,  613886740, 4.28356703941613495e+08, 0.00000000000000000e+00,  315115970, 4.28356703941613436e+08, 1.25332674161480462e+00,  166883875, 4.28356703941613436e+08, 1.25332674161480462e+00,   88405587
22, 4.28336614924228609e+08, 4699325526, 4.28336614924228549e+08, 1.25338552272719150e+00,  613439376, 4.28336614924228609e+08, 0.00000000000000000e+00,  315148145, 4.28336614924228609e+08, 0.00000000000000000e+00,  167214159, 4.28336614924228549e+08, 1.25338552272719150e+00,   91085651
23, 4.28370996516786218e+08, 4749412416, 4.28370996516786218e+08, 0.00000000000000000e+00,  613593632, 4.28370996516786218e+08, 0.00000000000000000e+00,  315388951, 4.28370996516786158e+08, 1.25328492443573292e+00,  167315593, 4.28370996516786158e+08, 1.25328492443573292e+00,   90124129
