"p≈√2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
14, 7.98533523765984923e+05, 584297641474, 7.98533523765984923e+05, 0.00000000000000000e+00,   4138578741, 7.98533523765985039e+05, 1.31312708708180859e+00,   2851120853, 7.98533523765985039e+05, 1.31312708708180859e+00,   1403273376, 7.98533523765984806e+05, 1.31312708708180859e+00,    640796884
15, 7.98520381394407828e+05, 588766269474, 7.98520381394407828e+05, 0.00000000000000000e+00,   4138875527, 7.98520381394407945e+05, 1.31314869905879572e+00,   2851029131, 7.98520381394408061e+05, 2.62629739811759144e+00,   1403488753, 7.98520381394407828e+05, 0.00000000000000000e+00,    641232982
16, 7.98516120377446758e+05, 582108852810, 7.98516120377446758e+05, 0.00000000000000000e+00,   4139203716, 7.98516120377446758e+05, 0.00000000000000000e+00,   2851498576, 7.98516120377446758e+05, 0.00000000000000000e+00,   1403849858, 7.98516120377446758e+05, 0.00000000000000000e+00,    641445603
17, 7.98505983825753210e+05, 580509261854, 7.98505983825753327e+05, 1.31317237596157588e+00,   4139663417, 7.98505983825753210e+05, 0.00000000000000000e+00,   2852441044, 7.98505983825753094e+05, 1.31317237596157588e+00,   1401688914, 7.98505983825753094e+05, 1.31317237596157588e+00,    639759146
18, 7.98521687024521641e+05, 582122476221, 7.98521687024521525e+05, 1.31314655198312669e+00,   4139166059, 7.98521687024521758e+05, 1.31314655198312669e+00,   2850765922, 7.98521687024521525e+05, 1.31314655198312669e+00,   1403471443, 7.98521687024521758e+05, 1.31314655198312669e+00,    641535641
19, 7.98535463654157240e+05, 580827680405, 7.98535463654157356e+05, 1.31312389709235799e+00,   4139385746, 7.98535463654157240e+05, 0.00000000000000000e+00,   2851999553, 7.98535463654157356e+05, 1.31312389709235799e+00,   1404138665, 7.98535463654157356e+05, 1.31312389709235799e+00,    641689427
20, 7.98542816758798319e+05, 588786783348, 7.98542816758798202e+05, 1.31311180564626473e+00,   4138291417, 7.98542816758798319e+05, 0.00000000000000000e+00,   2851092777, 7.98542816758798319e+05, 0.00000000000000000e+00,   1403070827, 7.98542816758798435e+05, 1.31311180564626473e+00,    641551107
21, 7.98479480857467977e+05, 580697331746, 7.98479480857467977e+05, 0.00000000000000000e+00,   4139089061, 7.98479480857468094e+05, 1.31321596251159689e+00,   2851244258, 7.98479480857467977e+05, 0.00000000000000000e+00,   1403748714, 7.98479480857467977e+05, 0.00000000000000000e+00,    641405239
22, 7.98525008163491148e+05, 587781119589, 7.98525008163491148e+05, 0.00000000000000000e+00,   4139486720, 7.98525008163491380e+05, 2.62628218097162724e+00,   2852365238, 7.98525008163491148e+05, 0.00000000000000000e+00,   1403610835, 7.98525008163491264e+05, 1.31314109048581362e+00,    641871807
23, 7.98524055104053812e+05, 584767355200, 7.98524055104053812e+05, 0.00000000000000000e+00,   4138940427, 7.98524055104053929e+05, 1.31314265775420180e+00,   2851669350, 7.98524055104053812e+05, 0.00000000000000000e+00,   1404005256, 7.98524055104053929e+05, 1.31314265775420180e+00,    641297831
