20, 7.15389077450724812e+02, 591793290487, 7.15389077450724812e+02, 0.00000000000000000e+00,   4184867726, 7.15389077450724926e+02, 1.43138892146495200e+00,   2851238244, 7.15389077450724926e+02, 1.43138892146495200e+00,   1402965875, 7.15389077450724699e+02, 1.43138892146495200e+00,    640583621
21, 7.15386760655604917e+02, 593444733031, 7.15386760655604917e+02, 0.00000000000000000e+00,   4189015050, 7.15386760655604917e+02, 0.00000000000000000e+00,   2852365218, 7.15386760655604917e+02, 0.00000000000000000e+00,   1404431923, 7.15386760655604917e+02, 0.00000000000000000e+00,    641056524
22, 7.15368255722644562e+02, 595991726828, 7.15368255722644562e+02, 0.00000000000000000e+00,   4214335630, 7.15368255722644335e+02, 2.86286116782071787e+00,   2851225915, 7.15368255722644676e+02, 1.43143058391035893e+00,   1401391828, 7.15368255722644676e+02, 1.43143058391035893e+00,    639639449
23, 7.15411834347379113e+02, 592226348157, 7.15411834347379227e+02, 1.43134338969123220e+00,   4184885427, 7.15411834347379227e+02, 1.43134338969123220e+00,   2851469097, 7.15411834347379113e+02, 0.00000000000000000e+00,   1403192899, 7.15411834347379113e+02, 0.00000000000000000e+00,    640888696
24, 7.15400222711997685e+02, 594843364341, 7.15400222711997799e+02, 1.43136662177450402e+00,   4255537560, 7.15400222711997571e+02, 1.43136662177450402e+00,   2899905524, 7.15400222711997685e+02, 0.00000000000000000e+00,   1428917835, 7.15400222711997571e+02, 1.43136662177450402e+00,    654881420
25, 7.15399032884859366e+02, 589824387454, 7.15399032884859253e+02, 1.43136900237438369e+00,   4185349620, 7.15399032884859480e+02, 1.43136900237438369e+00,   2852653825, 7.15399032884859366e+02, 0.00000000000000000e+00,   1403374689, 7.15399032884859366e+02, 0.00000000000000000e+00,    640570210
26, 7.15399112231708727e+02, 598034614223, 7.15399112231708727e+02, 0.00000000000000000e+00,   4184982552, 7.15399112231708727e+02, 0.00000000000000000e+00,   2851442626, 7.15399112231708841e+02, 1.43136884361737837e+00,   1403723626, 7.15399112231708727e+02, 0.00000000000000000e+00,    641233964
27, 7.15386914142336195e+02, 593905287632, 7.15386914142336195e+02, 0.00000000000000000e+00,   4185566431, 7.15386914142336195e+02, 0.00000000000000000e+00,   2851634069, 7.15386914142336195e+02, 0.00000000000000000e+00,   1403991605, 7.15386914142336195e+02, 0.00000000000000000e+00,    640490496
28, 7.15451710823671192e+02, 592686658552, 7.15451710823671192e+02, 0.00000000000000000e+00,   4185381965, 7.15451710823671419e+02, 2.86252722443310503e+00,   2851506744, 7.15451710823671306e+02, 1.43126361221655252e+00,   1403324112, 7.15451710823671192e+02, 0.00000000000000000e+00,    640975988
29, 7.15404038723410054e+02, 584624139387, 7.15404038723410054e+02, 0.00000000000000000e+00,   4184207019, 7.15404038723410054e+02, 0.00000000000000000e+00,   2850583962, 7.15404038723410054e+02, 0.00000000000000000e+00,   1403349712, 7.15404038723410054e+02, 0.00000000000000000e+00,    640726241
30, 7.15407919516600714e+02, 579631507980, 7.15407919516600828e+02, 1.43135122223963385e+00,   4184333221, 7.15407919516600828e+02, 1.43135122223963385e+00,   2851150822, 7.15407919516600714e+02, 0.00000000000000000e+00,   1401742929, 7.15407919516600714e+02, 0.00000000000000000e+00,    640149819
31, 7.15379796171070893e+02, 589964884084, 7.15379796171070893e+02, 0.00000000000000000e+00,   4185557480, 7.15379796171070893e+02, 0.00000000000000000e+00,   2852496632, 7.15379796171070780e+02, 1.43140749218912511e+00,   1403241702, 7.15379796171070893e+02, 0.00000000000000000e+00,    640714874
