"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
11,  48209008984770, 2.31702363281250000e+04, 0.00000000000000000e+00, 335840866676, 1.24277480468750000e+04, 7.77847250756050646e+06, 2013438156, 2.31702363281250000e+04, 0.00000000000000000e+00, 323037997, 2.31702363281250000e+04, 0.00000000000000000e+00, 534114052, 2.31702363281250000e+04, 0.00000000000000000e+00, 5907653682, 2.31702363281250000e+04, 0.00000000000000000e+00, 3831789683, 2.31702363281250000e+04, 0.00000000000000000e+00, 6010915580, 2.31702382812500000e+04, 1.41422813025971750e+00, 1138895058, 2.31702363281250000e+04, 0.00000000000000000e+00, 743448786, 2.31702363281250000e+04, 0.00000000000000000e+00, 714952795, 9.50173535156250000e+03, 9.89715383272299916e+06, 5216418935
12,    926644888384, 2.31705488281250000e+04, 0.00000000000000000e+00, 357939448207, 1.24269257812500000e+04, 7.77918925516387820e+06, 2007141183, 2.31705488281250000e+04, 0.00000000000000000e+00, 313549732, 2.31705488281250000e+04, 0.00000000000000000e+00, 511830628, 2.31705488281250000e+04, 0.00000000000000000e+00, 6316838932, 2.31705488281250000e+04, 0.00000000000000000e+00, 5335779718, 2.31705488281250000e+04, 0.00000000000000000e+00, 6672857252, 2.31705488281250000e+04, 0.00000000000000000e+00, 1306135212, 2.31705488281250000e+04, 0.00000000000000000e+00, 868052021, 2.31705507812500000e+04, 1.41420905663768171e+00, 764317180, 9.50230078125000000e+03, 9.89683721024559624e+06, 5302681284
13, 269742808093568, 2.31705078125000000e+04, 0.00000000000000000e+00, 364773670110, 1.24265751953125000e+04, 7.77942717814570945e+06, 2051985356, 2.31705078125000000e+04, 0.00000000000000000e+00, 392963451, 2.31705078125000000e+04, 0.00000000000000000e+00, 592106315, 2.31705097656250000e+04, 1.41421156002124193e+00, 9152353159, 2.31705097656250000e+04, 1.41421156002124193e+00, 6768858395, 2.31705078125000000e+04, 0.00000000000000000e+00, 7921585851, 2.31705097656250000e+04, 1.41421156002124193e+00, 1631445209, 2.31705078125000000e+04, 0.00000000000000000e+00, 1042450820, 2.31705078125000000e+04, 0.00000000000000000e+00, 860596487, 9.50113085937500000e+03, 9.89767214356342703e+06, 6208646980
14, 133140834589919, 2.31708535156250000e+04, 0.00000000000000000e+00, 362893734830, 1.24261103515625000e+04, 7.77989800015088357e+06, 1621459531, 2.31708535156250000e+04, 0.00000000000000000e+00, 302755870, 2.31708535156250000e+04, 0.00000000000000000e+00, 547919718, 2.31708535156250000e+04, 0.00000000000000000e+00, 6379310043, 2.31708535156250000e+04, 0.00000000000000000e+00, 3999820529, 2.31708535156250000e+04, 0.00000000000000000e+00, 6133896420, 2.31708535156250000e+04, 0.00000000000000000e+00, 1190512126, 2.31708535156250000e+04, 0.00000000000000000e+00, 705357820, 2.31708535156250000e+04, 0.00000000000000000e+00, 618353825, 9.50023730468750000e+03, 9.89842177670913935e+06, 4481683864
15,    948814433127, 2.31696992187500000e+04, 0.00000000000000000e+00, 339268569030, 1.24267539062500000e+04, 7.77898376160809398e+06, 1697622324, 2.31696992187500000e+04, 0.00000000000000000e+00, 314566375, 2.31696992187500000e+04, 0.00000000000000000e+00, 567052922, 2.31696992187500000e+04, 0.00000000000000000e+00, 6166896012, 2.31696992187500000e+04, 0.00000000000000000e+00, 3949214139, 2.31696992187500000e+04, 0.00000000000000000e+00, 5911835517, 2.31697011718750000e+04, 1.41426091424970291e+00, 1208309279, 2.31696992187500000e+04, 0.00000000000000000e+00, 865828410, 2.31696972656250000e+04, 1.41426091424970291e+00, 662634706, 9.50003320312500000e+03, 9.89822687065390311e+06, 4352886416
16, 257418450071907, 2.31694296875000000e+04, 0.00000000000000000e+00, 373177093011, 1.24254365234375000e+04, 7.77983301476116665e+06, 1650870505, 2.31694296875000000e+04, 0.00000000000000000e+00, 284053166, 2.31694296875000000e+04, 0.00000000000000000e+00, 486351930, 2.31694296875000000e+04, 0.00000000000000000e+00, 6030095169, 2.31694296875000000e+04, 0.00000000000000000e+00, 4293099630, 2.31694296875000000e+04, 0.00000000000000000e+00, 6533363533, 2.31694296875000000e+04, 0.00000000000000000e+00, 1175022060, 2.31694296875000000e+04, 0.00000000000000000e+00, 801870979, 2.31694296875000000e+04, 0.00000000000000000e+00, 727335341, 9.50041210937500000e+03, 9.89787247718589380e+06, 5238151469
17, 210415706860389, 2.31702167968750000e+04, 0.00000000000000000e+00, 364581428473, 1.24268896484375000e+04, 7.77908647588958405e+06, 1686488754, 2.31702167968750000e+04, 0.00000000000000000e+00, 318337483, 2.31702167968750000e+04, 0.00000000000000000e+00, 533479924, 2.31702167968750000e+04, 0.00000000000000000e+00, 6636239023, 2.31702167968750000e+04, 0.00000000000000000e+00, 4344524337, 2.31702167968750000e+04, 0.00000000000000000e+00, 6408716967, 2.31702148437500000e+04, 1.41422932237817767e+00, 1291609924, 2.31702167968750000e+04, 0.00000000000000000e+00, 978505103, 2.31702167968750000e+04, 0.00000000000000000e+00, 738620641, 9.50107031250000000e+03, 9.89762957828388177e+06, 6012261645
18, 188935437690893, 2.31708398437500000e+04, 0.00000000000000000e+00, 360203932487, 1.24259804687500000e+04, 7.77998673503519595e+06, 1596793145, 2.31708398437500000e+04, 0.00000000000000000e+00, 307721446, 2.31708398437500000e+04, 0.00000000000000000e+00, 480067377, 2.31708417968750000e+04, 1.41419129478980432e+00, 5664948296, 2.31708417968750000e+04, 1.41419129478980432e+00, 3979444639, 2.31708398437500000e+04, 0.00000000000000000e+00, 6204827739, 2.31708378906250000e+04, 1.41419129478980432e+00, 1070615377, 2.31708398437500000e+04, 0.00000000000000000e+00, 702872680, 2.31708417968750000e+04, 1.41419129478980432e+00, 650703967, 9.50065332031250000e+03, 9.89811649515428394e+06, 4391747194
19, 217646148643322, 2.31703417968750000e+04, 0.00000000000000000e+00, 386469511911, 1.24258925781250000e+04, 7.77985697942151409e+06, 2170419156, 2.31703417968750000e+04, 0.00000000000000000e+00, 316862975, 2.31703417968750000e+04, 0.00000000000000000e+00, 524421184, 2.31703417968750000e+04, 0.00000000000000000e+00, 7135495210, 2.31703417968750000e+04, 0.00000000000000000e+00, 4975977315, 2.31703437500000000e+04, 1.41422169285476151e+00, 6983820475, 2.31703417968750000e+04, 0.00000000000000000e+00, 1372064243, 2.31703417968750000e+04, 0.00000000000000000e+00, 836626753, 2.31703417968750000e+04, 0.00000000000000000e+00, 707607429, 9.50008886718750000e+03, 9.89837733886741474e+06, 5736090922
20, 199941492037421, 2.31715019531250000e+04, 0.00000000000000000e+00, 400886767990, 1.24268007812500000e+04, 7.77964988116312400e+06, 2264789542, 2.31715019531250000e+04, 0.00000000000000000e+00, 339027427, 2.31715019531250000e+04, 0.00000000000000000e+00, 561950133, 2.31715039062500000e+04, 1.41415088526796073e+00, 6690376694, 2.31715039062500000e+04, 1.41415088526796073e+00, 3914650828, 2.31715019531250000e+04, 0.00000000000000000e+00, 6693395120, 2.31715019531250000e+04, 0.00000000000000000e+00, 1357894564, 2.31715039062500000e+04, 1.41415088526796073e+00, 767827614, 2.31715019531250000e+04, 0.00000000000000000e+00, 672617025, 9.50096582031250000e+03, 9.89808679644387402e+06, 6407030527
