"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
11,  48209008984770, 2.31698819287226652e+04, 0.00000000000000000e+00, 428088899766, 2.31698819287185397e+04, 1.60375922994824418e+03, 4174226859, 2.31698819287226652e+04, 0.00000000000000000e+00, 808770049, 2.31698819287226652e+04, 0.00000000000000000e+00, 1062703472, 2.31698819287226652e+04, 0.00000000000000000e+00, 12340024053, 2.31698819287226652e+04, 0.00000000000000000e+00, 12263250575, 2.31698819287226688e+04, 1.41424976185912188e+00, 7812946311, 2.31698819287226688e+04, 1.41424976185912188e+00, 2986473377, 2.31698819287226688e+04, 1.41424976185912188e+00, 2088198686, 2.31698819287226688e+04, 1.41424976185912188e+00, 1897890017, 2.31698819287273909e+04, 1.83711044065499937e+03, 13014674129
12,    926644888384, 2.31704923946527269e+04, 0.00000000000000000e+00, 397382226354, 2.31704923946524723e+04, 9.89948750734944554e+01, 3951118735, 2.31704923946527269e+04, 0.00000000000000000e+00, 759465878, 2.31704923946527269e+04, 0.00000000000000000e+00, 1151953981, 2.31704923946527233e+04, 1.41421250104992069e+00, 11313372893, 2.31704923946527233e+04, 1.41421250104992069e+00, 11831678734, 2.31704923946527269e+04, 0.00000000000000000e+00, 8405470294, 2.31704923946527269e+04, 0.00000000000000000e+00, 3262063057, 2.31704923946527269e+04, 0.00000000000000000e+00, 1791421375, 2.31704923946527269e+04, 0.00000000000000000e+00, 1723598806, 2.31704923946341551e+04, 7.21955481785984557e+03, 12072334894
13, 269742808093568, 2.31713219450111355e+04, 0.00000000000000000e+00, 406310218052, 2.31713219450049073e+04, 2.42104512349923425e+03, 2927450389, 2.31713219450111355e+04, 0.00000000000000000e+00, 613365441, 2.31713219450111355e+04, 0.00000000000000000e+00, 854485774, 2.31713219450111355e+04, 0.00000000000000000e+00, 9628938337, 2.31713219450111355e+04, 0.00000000000000000e+00, 10552155295, 2.31713219450111355e+04, 0.00000000000000000e+00, 7658485637, 2.31713219450111392e+04, 1.41416187120282366e+00, 3173532948, 2.31713219450111392e+04, 1.41416187120282366e+00, 2045816352, 2.31713219450111355e+04, 0.00000000000000000e+00, 1926382724, 2.31713219449615681e+04, 1.92679554951384744e+04, 12189689366
14, 133140834589919, 2.31717405380760501e+04, 0.00000000000000000e+00, 362791597001, 2.31717405380713135e+04, 1.84120549467978753e+03, 3041436385, 2.31717405380760501e+04, 0.00000000000000000e+00, 630329723, 2.31717405380760501e+04, 0.00000000000000000e+00, 928153588, 2.31717405380760501e+04, 0.00000000000000000e+00, 11477441629, 2.31717405380760501e+04, 0.00000000000000000e+00, 12173528020, 2.31717405380760501e+04, 0.00000000000000000e+00, 8228226558, 2.31717405380760501e+04, 0.00000000000000000e+00, 3966171445, 2.31717405380760465e+04, 1.41413632463885364e+00, 2959588202, 2.31717405380760501e+04, 0.00000000000000000e+00, 2582181323, 2.31717405380425116e+04, 1.30369227768455930e+04, 12969409985
15,    948814433127, 2.31707520858542521e+04, 0.00000000000000000e+00, 407019759847, 2.31707520858564094e+04, 8.38618614018268659e+02, 2783371072, 2.31707520858542521e+04, 0.00000000000000000e+00, 552178039, 2.31707520858542484e+04, 1.41419665095829461e+00, 849945887, 2.31707520858542484e+04, 1.41419665095829461e+00, 10474808428, 2.31707520858542484e+04, 1.41419665095829461e+00, 11639619615, 2.31707520858542521e+04, 0.00000000000000000e+00, 7366106324, 2.31707520858542484e+04, 1.41419665095829461e+00, 2622198261, 2.31707520858542557e+04, 1.41419665095829461e+00, 1569751830, 2.31707520858542484e+04, 1.41419665095829461e+00, 1481137785, 2.31707520858380412e+04, 6.30166027667015987e+03, 11822132068
16, 257418450071907, 2.31700453848559700e+04, 0.00000000000000000e+00, 402811459771, 2.31700453848397228e+04, 6.31599487913172652e+03, 2845146223, 2.31700453848559700e+04, 0.00000000000000000e+00, 634684894, 2.31700453848559700e+04, 0.00000000000000000e+00, 910848116, 2.31700453848559700e+04, 0.00000000000000000e+00, 11541474110, 2.31700453848559700e+04, 0.00000000000000000e+00, 11729349488, 2.31700453848559664e+04, 1.41423978484812496e+00, 7466918952, 2.31700453848559700e+04, 0.00000000000000000e+00, 2842479219, 2.31700453848559700e+04, 0.00000000000000000e+00, 1751271856, 2.31700453848559700e+04, 0.00000000000000000e+00, 1637536548, 2.31700453848383913e+04, 6.83360664038614050e+03, 12821089778
17, 210415706860389, 2.31700906290567982e+04, 0.00000000000000000e+00, 379136505549, 2.31700906290475250e+04, 3.60489017230055333e+03, 1889851605, 2.31700906290567982e+04, 0.00000000000000000e+00, 602160253, 2.31700906290567982e+04, 0.00000000000000000e+00, 872193797, 2.31700906290567946e+04, 1.41423702326424228e+00, 10620872971, 2.31700906290567946e+04, 1.41423702326424228e+00, 11365121389, 2.31700906290567982e+04, 0.00000000000000000e+00, 7690648657, 2.31700906290567946e+04, 1.41423702326424228e+00, 3393214097, 2.31700906290567946e+04, 1.41423702326424228e+00, 1873261073, 2.31700906290567982e+04, 0.00000000000000000e+00, 1826476753, 2.31700906290360617e+04, 8.06115103260618071e+03, 12550705960
18, 188935437690893, 2.31701867542876098e+04, 0.00000000000000000e+00, 415853356703, 2.31701867542859873e+04, 6.30747095609645953e+02, 4112251653, 2.31701867542876134e+04, 1.41423115607543948e+00, 620293196, 2.31701867542876098e+04, 0.00000000000000000e+00, 945952192, 2.31701867542876098e+04, 0.00000000000000000e+00, 10648223419, 2.31701867542876098e+04, 0.00000000000000000e+00, 10793662144, 2.31701867542876098e+04, 0.00000000000000000e+00, 7915955382, 2.31701867542876098e+04, 0.00000000000000000e+00, 2788649802, 2.31701867542876098e+04, 0.00000000000000000e+00, 1866123626, 2.31701867542876098e+04, 0.00000000000000000e+00, 1549910290, 2.31701867542662330e+04, 8.31002227309928276e+03, 13150964233
19, 217646148643322, 2.31705435294547824e+04, 0.00000000000000000e+00, 364275851471, 2.31705435294512790e+04, 1.36188363297934779e+03, 3628189281, 2.31705435294547860e+04, 1.41420938004085972e+00, 567180464, 2.31705435294547824e+04, 0.00000000000000000e+00, 844075647, 2.31705435294547860e+04, 1.41420938004085972e+00, 11234194105, 2.31705435294547860e+04, 1.41420938004085972e+00, 13183012052, 2.31705435294547824e+04, 0.00000000000000000e+00, 8392195330, 2.31705435294547860e+04, 1.41420938004085972e+00, 3157667897, 2.31705435294547824e+04, 0.00000000000000000e+00, 2029512239, 2.31705435294547860e+04, 1.41420938004085972e+00, 1879540941, 2.31705435294433955e+04, 4.42647535952789076e+03, 12137759579
20, 199941492037421, 2.31697282177437373e+04, 0.00000000000000000e+00, 360039848915, 2.31697282177231245e+04, 8.01319231089711320e+03, 2832514320, 2.31697282177437373e+04, 0.00000000000000000e+00, 683984525, 2.31697282177437373e+04, 0.00000000000000000e+00, 939183900, 2.31697282177437373e+04, 0.00000000000000000e+00, 10124822300, 2.31697282177437373e+04, 0.00000000000000000e+00, 11095562608, 2.31697282177437410e+04, 1.41425914417527587e+00, 6928603928, 2.31697282177437373e+04, 0.00000000000000000e+00, 2762068389, 2.31697282177437373e+04, 0.00000000000000000e+00, 1597565575, 2.31697282177437410e+04, 1.41425914417527587e+00, 1655508010, 2.31697282177247835e+04, 7.36829014115318751e+03, 11990751717
21, 225480702134323, 2.31699196054208078e+04, 0.00000000000000000e+00, 338963067894, 2.31699196054071544e+04, 5.30767072541883772e+03, 2990599296, 2.31699196054208041e+04, 1.41424746214197627e+00, 539099110, 2.31699196054208078e+04, 0.00000000000000000e+00, 804001926, 2.31699196054208078e+04, 0.00000000000000000e+00, 9393018705, 2.31699196054208078e+04, 0.00000000000000000e+00, 9910177195, 2.31699196054208041e+04, 1.41424746214197627e+00, 6696963442, 2.31699196054208078e+04, 0.00000000000000000e+00, 2339436127, 2.31699196054208078e+04, 0.00000000000000000e+00, 1626515510, 2.31699196054208078e+04, 0.00000000000000000e+00, 1521046294, 2.31699196053736996e+04, 1.83130903872764538e+04, 12546510224
22,  70194609683243, 2.31691846662160460e+04, 0.00000000000000000e+00, 341688993299, 2.31691846662104253e+04, 2.18508163879502854e+03, 3413395523, 2.31691846662160460e+04, 0.00000000000000000e+00, 615865577, 2.31691846662160460e+04, 0.00000000000000000e+00, 964655803, 2.31691846662160460e+04, 0.00000000000000000e+00, 10454636788, 2.31691846662160460e+04, 0.00000000000000000e+00, 10638364684, 2.31691846662160460e+04, 0.00000000000000000e+00, 6674597489, 2.31691846662160460e+04, 0.00000000000000000e+00, 2800759256, 2.31691846662160460e+04, 0.00000000000000000e+00, 1799422894, 2.31691846662160460e+04, 0.00000000000000000e+00, 1527384424, 2.31691846662025928e+04, 5.23005300987962164e+03, 11787256134
23, 260015387711235, 2.31708156248579689e+04, 0.00000000000000000e+00, 335754968313, 2.31708156248704654e+04, 4.85775217507864272e+03, 2565687788, 2.31708156248579689e+04, 0.00000000000000000e+00, 576512268, 2.31708156248579689e+04, 0.00000000000000000e+00, 904869436, 2.31708156248579689e+04, 0.00000000000000000e+00, 10067205038, 2.31708156248579689e+04, 0.00000000000000000e+00, 10609392793, 2.31708156248579689e+04, 0.00000000000000000e+00, 7234865462, 2.31708156248579689e+04, 0.00000000000000000e+00, 2954098770, 2.31708156248579689e+04, 0.00000000000000000e+00, 2190881481, 2.31708156248579689e+04, 0.00000000000000000e+00, 1614064133, 2.31708156248411433e+04, 6.54064157488754699e+03, 11855518713
24, 232646152833469, 2.31704938306246477e+04, 0.00000000000000000e+00, 342916935932, 2.31704938306319600e+04, 2.84256695094462702e+03, 2603342509, 2.31704938306246477e+04, 0.00000000000000000e+00, 626342771, 2.31704938306246477e+04, 0.00000000000000000e+00, 827317694, 2.31704938306246477e+04, 0.00000000000000000e+00, 9917028688, 2.31704938306246477e+04, 0.00000000000000000e+00, 10307532323, 2.31704938306246513e+04, 1.41421241340528714e+00, 7539001153, 2.31704938306246477e+04, 0.00000000000000000e+00, 2741373079, 2.31704938306246477e+04, 0.00000000000000000e+00, 1679616492, 2.31704938306246477e+04, 0.00000000000000000e+00, 1620594751, 2.31704938305844043e+04, 1.56440177170892857e+04, 12010648955
25, 217361901530733, 2.31703153891776528e+04, 0.00000000000000000e+00, 362441667457, 2.31703153891706388e+04, 2.72662253140966959e+03, 3021269711, 2.31703153891776528e+04, 0.00000000000000000e+00, 674117177, 2.31703153891776528e+04, 0.00000000000000000e+00, 1138074764, 2.31703153891776528e+04, 0.00000000000000000e+00, 12047246639, 2.31703153891776528e+04, 0.00000000000000000e+00, 12165487926, 2.31703153891776528e+04, 0.00000000000000000e+00, 7579398794, 2.31703153891776528e+04, 0.00000000000000000e+00, 3134752853, 2.31703153891776528e+04, 0.00000000000000000e+00, 1951802515, 2.31703153891776528e+04, 0.00000000000000000e+00, 1566473142, 2.31703153891728653e+04, 1.86111786894975376e+03, 11952876050
