"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
11, 189489026904977, 1.33771943359375000e+04, 0.00000000000000000e+00, 317543965963, 4.09600000000000000e+03, 1.16401539965433534e+07, 1466119375, 1.33771943359375000e+04, 0.00000000000000000e+00, 286058066, 1.33771933593750000e+04, 1.22477102362075962e+00, 494426851, 1.33771943359375000e+04, 0.00000000000000000e+00, 5825514639, 1.33771943359375000e+04, 0.00000000000000000e+00, 3909695547, 1.33771943359375000e+04, 0.00000000000000000e+00, 5978296525, 1.33771923828125000e+04, 2.44954204724151925e+00, 1024397039, 1.33771943359375000e+04, 0.00000000000000000e+00, 698674270, 1.33771933593750000e+04, 1.22477102362075962e+00, 630793820, 4.09599951171875000e+03, 1.16401546089288648e+07, 3894999240
12, 261677460603461, 1.33779121093750000e+04, 0.00000000000000000e+00, 308023302665, 4.09600000000000000e+03, 1.16404296185255218e+07, 1328254181, 1.33779121093750000e+04, 0.00000000000000000e+00, 283135729, 1.33779121093750000e+04, 0.00000000000000000e+00, 481369075, 1.33779130859375000e+04, 1.22470531021940165e+00, 5411561103, 1.33779130859375000e+04, 1.22470531021940165e+00, 3647180123, 1.33779121093750000e+04, 0.00000000000000000e+00, 5744117806, 1.33779111328125000e+04, 1.22470531021940165e+00, 1120445708, 1.33779111328125000e+04, 1.22470531021940165e+00, 738870831, 1.33779130859375000e+04, 1.22470531021940165e+00, 647766933, 4.09599877929687500e+03, 1.16404311494071595e+07, 5102149750
13, 196194720220788, 1.33773710937500000e+04, 0.00000000000000000e+00, 313553392052, 4.09600000000000000e+03, 1.16402218735451978e+07, 1391808725, 1.33773710937500000e+04, 0.00000000000000000e+00, 295970774, 1.33773710937500000e+04, 0.00000000000000000e+00, 515729069, 1.33773710937500000e+04, 0.00000000000000000e+00, 5722186843, 1.33773710937500000e+04, 0.00000000000000000e+00, 4031836413, 1.33773710937500000e+04, 0.00000000000000000e+00, 5828891928, 1.33773710937500000e+04, 0.00000000000000000e+00, 1110940034, 1.33773701171875000e+04, 1.22475484048242622e+00, 736468646, 1.33773710937500000e+04, 0.00000000000000000e+00, 668657228, 4.09599926757812500e+03, 1.16402227921113279e+07, 4193619186
14,  11625128473918, 1.33776435546875000e+04, 0.00000000000000000e+00, 309641772250, 4.09600000000000000e+03, 1.16403264981175233e+07, 1912946933, 1.33776435546875000e+04, 0.00000000000000000e+00, 317166787, 1.33776435546875000e+04, 0.00000000000000000e+00, 563395513, 1.33776445312500000e+04, 1.22472989604055327e+00, 6002377182, 1.33776445312500000e+04, 1.22472989604055327e+00, 4003735212, 1.33776435546875000e+04, 0.00000000000000000e+00, 6091587551, 1.33776435546875000e+04, 0.00000000000000000e+00, 1183636335, 1.33776445312500000e+04, 1.22472989604055327e+00, 723607945, 1.33776435546875000e+04, 0.00000000000000000e+00, 616113719, 4.09599951171875000e+03, 1.16403271104824711e+07, 4009743136
15, 102881259758035, 1.33774208984375000e+04, 0.00000000000000000e+00, 311706172887, 4.09600000000000000e+03, 1.16402409987853393e+07, 1484849889, 1.33774208984375000e+04, 0.00000000000000000e+00, 267881890, 1.33774208984375000e+04, 0.00000000000000000e+00, 481336412, 1.33774199218750000e+04, 1.22475028066984670e+00, 6267802210, 1.33774199218750000e+04, 1.22475028066984670e+00, 4153859321, 1.33774208984375000e+04, 0.00000000000000000e+00, 6108843079, 1.33774208984375000e+04, 0.00000000000000000e+00, 1222884162, 1.33774199218750000e+04, 1.22475028066984670e+00, 674768570, 1.33774208984375000e+04, 0.00000000000000000e+00, 681886135, 4.09599902343750000e+03, 1.16402422235356197e+07, 4624522257
16,  22363808349355, 1.33773476562500000e+04, 0.00000000000000000e+00, 316074261870, 4.09600000000000000e+03, 1.16402128733829129e+07, 1742512474, 1.33773476562500000e+04, 0.00000000000000000e+00, 288160469, 1.33773476562500000e+04, 0.00000000000000000e+00, 486475474, 1.33773476562500000e+04, 0.00000000000000000e+00, 5398090918, 1.33773476562500000e+04, 0.00000000000000000e+00, 3781197193, 1.33773486328125000e+04, 1.22475698628832963e+00, 5964517568, 1.33773486328125000e+04, 1.22475698628832963e+00, 1053760626, 1.33773476562500000e+04, 0.00000000000000000e+00, 741717125, 1.33773476562500000e+04, 0.00000000000000000e+00, 619152412, 4.09599926757812500e+03, 1.16402137919506542e+07, 4315878684
17, 107432400246448, 1.33772041015625000e+04, 0.00000000000000000e+00, 304902106816, 4.09600000000000000e+03, 1.16401577467007656e+07, 1118079975, 1.33772041015625000e+04, 0.00000000000000000e+00, 256345240, 1.33772041015625000e+04, 0.00000000000000000e+00, 459719327, 1.33772041015625000e+04, 0.00000000000000000e+00, 5602804665, 1.33772041015625000e+04, 0.00000000000000000e+00, 3934330337, 1.33772041015625000e+04, 0.00000000000000000e+00, 6034503040, 1.33772041015625000e+04, 0.00000000000000000e+00, 1095853520, 1.33772041015625000e+04, 0.00000000000000000e+00, 682568123, 1.33772031250000000e+04, 1.22477012951355779e+00, 677316447, 4.09599926757812500e+03, 1.16401586652783640e+07, 4436076087
18, 223413620295979, 1.33775068359375000e+04, 0.00000000000000000e+00, 305041117119, 4.09600000000000000e+03, 1.16402739988648444e+07, 1533221961, 1.33775068359375000e+04, 0.00000000000000000e+00, 273604512, 1.33775068359375000e+04, 0.00000000000000000e+00, 480220553, 1.33775078125000000e+04, 1.22474241283778085e+00, 5465394680, 1.33775078125000000e+04, 1.22474241283778085e+00, 3909151811, 1.33775078125000000e+04, 1.22474241283778085e+00, 5934433724, 1.33775068359375000e+04, 0.00000000000000000e+00, 1185317209, 1.33775068359375000e+04, 0.00000000000000000e+00, 755903621, 1.33775078125000000e+04, 1.22474241283778085e+00, 621378694, 4.09599951171875000e+03, 1.16402746112360507e+07, 4021684233
19,  38718330254922, 1.33776650390625000e+04, 0.00000000000000000e+00, 301462103402, 4.09600000000000000e+03, 1.16403347479025237e+07, 1398862466, 1.33776650390625000e+04, 0.00000000000000000e+00, 275022263, 1.33776660156250000e+04, 1.22472792913853534e+00, 471714909, 1.33776660156250000e+04, 1.22472792913853534e+00, 5347123890, 1.33776660156250000e+04, 1.22472792913853534e+00, 3667794834, 1.33776650390625000e+04, 0.00000000000000000e+00, 5673685240, 1.33776650390625000e+04, 0.00000000000000000e+00, 1015648936, 1.33776650390625000e+04, 0.00000000000000000e+00, 690328474, 1.33776650390625000e+04, 0.00000000000000000e+00, 572509380, 4.09599926757812500e+03, 1.16403356664484721e+07, 3965214889
20,  69349230660948, 1.33777910156250000e+04, 0.00000000000000000e+00, 295254903990, 4.09600000000000000e+03, 1.16403831211086363e+07, 1113339970, 1.33777910156250000e+04, 0.00000000000000000e+00, 270031905, 1.33777910156250000e+04, 0.00000000000000000e+00, 500260219, 1.33777910156250000e+04, 0.00000000000000000e+00, 5643226417, 1.33777910156250000e+04, 0.00000000000000000e+00, 4076360676, 1.33777900390625000e+04, 1.22471639606746785e+00, 6161278212, 1.33777910156250000e+04, 0.00000000000000000e+00, 1215184899, 1.33777900390625000e+04, 1.22471639606746785e+00, 690476779, 1.33777910156250000e+04, 0.00000000000000000e+00, 596185293, 4.09599902343750000e+03, 1.16403843458250314e+07, 4049717075
