"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
11, 189489026904977, 1.89186074218750000e+04, 0.00000000000000000e+00, 538980530128, 4.09600000000000000e+03, 1.31448409946102370e+07, 1194370448, 1.89186074218750000e+04, 0.00000000000000000e+00, 311066176, 1.89186093750000000e+04, 1.73205137509811502e+00,  9931273479, 1.89186093750000000e+04, 1.73205137509811502e+00, 7207622352, 1.89186074218750000e+04, 0.00000000000000000e+00, 10553854354, 1.89186074218750000e+04, 0.00000000000000000e+00, 1696589888, 1.89186074218750000e+04, 0.00000000000000000e+00,  982133680, 1.89186074218750000e+04, 0.00000000000000000e+00, 840082040, 4.09599951171875000e+03, 1.31448414276230820e+07, 8031401556
12, 261677460603461, 1.89188476562500000e+04, 0.00000000000000000e+00, 541116928768, 4.09600000000000000e+03, 1.31448871190547626e+07, 1201012291, 1.89188476562500000e+04, 0.00000000000000000e+00, 322845358, 1.89188476562500000e+04, 0.00000000000000000e+00,  9964636046, 1.89188476562500000e+04, 0.00000000000000000e+00, 7223833627, 1.89188457031250000e+04, 1.73202938124906436e+00, 10577261322, 1.89188476562500000e+04, 0.00000000000000000e+00, 1706608056, 1.89188457031250000e+04, 1.73202938124906436e+00, 1007763271, 1.89188457031250000e+04, 1.73202938124906436e+00, 860371950, 4.09599951171875000e+03, 1.31448875520621073e+07, 8057748438
13, 196194720220788, 1.89186210937500000e+04, 0.00000000000000000e+00, 541659123944, 4.09600000000000000e+03, 1.31448436196100600e+07, 1196037791, 1.89186210937500000e+04, 0.00000000000000000e+00, 311427335, 1.89186210937500000e+04, 0.00000000000000000e+00,  9907707180, 1.89186210937500000e+04, 0.00000000000000000e+00, 7194167002, 1.89186191406250000e+04, 1.73205012340065911e+00, 10545132042, 1.89186210937500000e+04, 0.00000000000000000e+00, 1702743298, 1.89186210937500000e+04, 0.00000000000000000e+00,  988253671, 1.89186210937500000e+04, 0.00000000000000000e+00, 838961139, 4.09599951171875000e+03, 1.31448440526225921e+07, 8031122544
14,  11625128473918, 1.89193593750000000e+04, 0.00000000000000000e+00, 538842677170, 4.09600000000000000e+03, 1.31449853639666382e+07, 1195603977, 1.89193593750000000e+04, 0.00000000000000000e+00, 311857048, 1.89193593750000000e+04, 0.00000000000000000e+00,  9921597489, 1.89193593750000000e+04, 0.00000000000000000e+00, 7213590125, 1.89193574218750000e+04, 1.73198253442447747e+00, 10533831856, 1.89193593750000000e+04, 0.00000000000000000e+00, 1708076741, 1.89193593750000000e+04, 0.00000000000000000e+00,  989189841, 1.89193593750000000e+04, 0.00000000000000000e+00, 839010358, 4.09599951171875000e+03, 1.31449857969622724e+07, 8037985233
15, 102881259758035, 1.89185214843750000e+04, 0.00000000000000000e+00, 540213277137, 4.09600000000000000e+03, 1.31448244945244733e+07, 1203523438, 1.89185214843750000e+04, 0.00000000000000000e+00, 325787929, 1.89185195312500000e+04, 1.73205924295212110e+00,  9949576906, 1.89185195312500000e+04, 1.73205924295212110e+00, 7205333156, 1.89185214843750000e+04, 0.00000000000000000e+00, 10618894077, 1.89185214843750000e+04, 0.00000000000000000e+00, 1705425621, 1.89185214843750000e+04, 0.00000000000000000e+00, 1007573522, 1.89185195312500000e+04, 1.73205924295212110e+00, 867700432, 4.09599951171875000e+03, 1.31448249275392834e+07, 8072260712
16,  22363808349355, 1.89186875000000000e+04, 0.00000000000000000e+00, 540640851278, 4.09600000000000000e+03, 1.31448563695552349e+07, 1198251124, 1.89186875000000000e+04, 0.00000000000000000e+00, 310365706, 1.89186855468750000e+04, 1.73204404375303511e+00,  9945163751, 1.89186855468750000e+04, 1.73204404375303511e+00, 7247030500, 1.89186875000000000e+04, 0.00000000000000000e+00, 10577616007, 1.89186855468750000e+04, 1.73204404375303511e+00, 1712448471, 1.89186855468750000e+04, 1.73204404375303511e+00,  990799235, 1.89186855468750000e+04, 1.73204404375303511e+00, 843932828, 4.09599951171875000e+03, 1.31448568025662452e+07, 8026925712
17, 107432400246448, 1.89185390625000000e+04, 0.00000000000000000e+00, 539341680112, 4.09600000000000000e+03, 1.31448278695542105e+07, 1197046161, 1.89185390625000000e+04, 0.00000000000000000e+00, 316523869, 1.89185390625000000e+04, 0.00000000000000000e+00,  9908747687, 1.89185390625000000e+04, 0.00000000000000000e+00, 7200748477, 1.89185390625000000e+04, 0.00000000000000000e+00, 10556930714, 1.89185371093750000e+04, 1.73205763361253195e+00, 1741310824, 1.89185390625000000e+04, 0.00000000000000000e+00,  987168105, 1.89185390625000000e+04, 0.00000000000000000e+00, 845550430, 4.09599951171875000e+03, 1.31448283025686201e+07, 8073664735
18, 223413620295979, 1.89186464843750000e+04, 0.00000000000000000e+00, 539160967627, 4.09600000000000000e+03, 1.31448484945996664e+07, 1199421727, 1.89186464843750000e+04, 0.00000000000000000e+00, 315158843, 1.89186464843750000e+04, 0.00000000000000000e+00,  9923159727, 1.89186464843750000e+04, 0.00000000000000000e+00, 7192540870, 1.89186484375000000e+04, 1.73204779882446913e+00, 10525487532, 1.89186464843750000e+04, 0.00000000000000000e+00, 1709482345, 1.89186464843750000e+04, 0.00000000000000000e+00,  989140290, 1.89186464843750000e+04, 0.00000000000000000e+00, 842141378, 4.09599951171875000e+03, 1.31448489276116174e+07, 8031124805
19,  38718330254922, 1.89187050781250000e+04, 0.00000000000000000e+00, 538811294459, 4.09600000000000000e+03, 1.31448597445257399e+07, 1196786594, 1.89187050781250000e+04, 0.00000000000000000e+00, 314027879, 1.89187050781250000e+04, 0.00000000000000000e+00,  9926997264, 1.89187050781250000e+04, 0.00000000000000000e+00, 7202677801, 1.89187050781250000e+04, 0.00000000000000000e+00, 10537847223, 1.89187031250000000e+04, 1.73204243444169070e+00, 1901253794, 1.89187031250000000e+04, 1.73204243444169070e+00,  985190403, 1.89187031250000000e+04, 1.73204243444169070e+00, 845818283, 4.09599951171875000e+03, 1.31448601775363479e+07, 8032964488
20,  69349230660948, 1.89189785156250000e+04, 0.00000000000000000e+00, 540204122462, 4.09600000000000000e+03, 1.31449122432593685e+07, 1200401405, 1.89189785156250000e+04, 0.00000000000000000e+00, 311008729, 1.89189785156250000e+04, 0.00000000000000000e+00,  9919427391, 1.89189785156250000e+04, 0.00000000000000000e+00, 7201767751, 1.89189785156250000e+04, 0.00000000000000000e+00, 10551842287, 1.89189785156250000e+04, 0.00000000000000000e+00, 1709095278, 1.89189785156250000e+04, 0.00000000000000000e+00,  987139761, 1.89189765625000000e+04, 1.73201740109473823e+00, 840791277, 4.09599951171875000e+03, 1.31449126762637179e+07, 8036233014
