"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
11, 189489026904977, 1.33771942565410864e+04, 0.00000000000000000e+00, 301266388984, 1.33771942565341524e+04, 4.66882716975278981e+03, 1941187661, 1.33771942565410845e+04, 1.22477103089002881e+00, 597697313, 1.33771942565410864e+04, 0.00000000000000000e+00, 879707652, 1.33771942565410864e+04, 0.00000000000000000e+00, 9294582019, 1.33771942565410864e+04, 0.00000000000000000e+00, 10043872072, 1.33771942565410845e+04, 1.22477103089002881e+00, 7198200220, 1.33771942565410864e+04, 0.00000000000000000e+00, 2388520829, 1.33771942565410845e+04, 1.22477103089002881e+00, 1793184792, 1.33771942565410864e+04, 0.00000000000000000e+00, 1548829832, 1.33771942565511326e+04, 6.76441040360562965e+03, 11453733669
12, 261677460603461, 1.33779126510376846e+04, 0.00000000000000000e+00, 305726648044, 1.33779126510363094e+04, 9.25877177037722049e+02, 2319294346, 1.33779126510376846e+04, 0.00000000000000000e+00, 568859895, 1.33779126510376846e+04, 0.00000000000000000e+00, 818417557, 1.33779126510376827e+04, 1.22470526063190754e+00, 9218817013, 1.33779126510376827e+04, 1.22470526063190754e+00, 9767851359, 1.33779126510376827e+04, 1.22470526063190754e+00, 7024233276, 1.33779126510376846e+04, 0.00000000000000000e+00, 2615104922, 1.33779126510376846e+04, 0.00000000000000000e+00, 1739724605, 1.33779126510376846e+04, 0.00000000000000000e+00, 1673814837, 1.33779126510411515e+04, 2.33428822676441587e+03, 11589226842
13, 196194720220788, 1.33773710799088203e+04, 0.00000000000000000e+00, 309157827205, 1.33773710799067230e+04, 1.41214233253734028e+03, 2478311352, 1.33773710799088203e+04, 0.00000000000000000e+00, 609133473, 1.33773710799088203e+04, 0.00000000000000000e+00, 838783229, 1.33773710799088203e+04, 0.00000000000000000e+00, 9158048602, 1.33773710799088203e+04, 0.00000000000000000e+00, 10026415742, 1.33773710799088203e+04, 0.00000000000000000e+00, 6740491619, 1.33773710799088221e+04, 1.22475484174964455e+00, 2485040093, 1.33773710799088203e+04, 0.00000000000000000e+00, 1581125394, 1.33773710799088203e+04, 0.00000000000000000e+00, 1486742106, 1.33773710798951470e+04, 9.20648214543207905e+03, 11394775859
14,  11625128473918, 1.33776440417344002e+04, 0.00000000000000000e+00, 329408121144, 1.33776440417308550e+04, 2.38699848047833029e+03, 2319739857, 1.33776440417344002e+04, 0.00000000000000000e+00, 632635676, 1.33776440417344002e+04, 0.00000000000000000e+00, 921359230, 1.33776440417344020e+04, 1.22472985145116997e+00, 9647171345, 1.33776440417344020e+04, 1.22472985145116997e+00, 10513408775, 1.33776440417343983e+04, 1.22472985145116997e+00, 6907387536, 1.33776440417344002e+04, 0.00000000000000000e+00, 2626729009, 1.33776440417344002e+04, 0.00000000000000000e+00, 1668826588, 1.33776440417344020e+04, 1.22472985145116997e+00, 1588874143, 1.33776440417328704e+04, 1.02999780507043397e+03, 13216293428
15, 102881259758035, 1.33774211419628919e+04, 0.00000000000000000e+00, 304137865458, 1.33774211419561489e+04, 4.54014920779328713e+03, 2046112382, 1.33774211419628919e+04, 0.00000000000000000e+00, 585417225, 1.33774211419628919e+04, 0.00000000000000000e+00, 845871435, 1.33774211419628919e+04, 0.00000000000000000e+00, 9361133725, 1.33774211419628919e+04, 0.00000000000000000e+00, 9410762009, 1.33774211419628919e+04, 0.00000000000000000e+00, 6539961788, 1.33774211419628919e+04, 0.00000000000000000e+00, 2343373112, 1.33774211419628919e+04, 0.00000000000000000e+00, 1525991331, 1.33774211419628900e+04, 1.22475025837423468e+00, 1516973269, 1.33774211419623225e+04, 3.83346830871135410e+02, 11386045431
16,  22363808349355, 1.33773482857117633e+04, 0.00000000000000000e+00, 304839831371, 1.33773482857111921e+04, 3.84573675598689420e+02, 2818185283, 1.33773482857117633e+04, 0.00000000000000000e+00, 621347271, 1.33773482857117633e+04, 0.00000000000000000e+00, 904381285, 1.33773482857117651e+04, 1.22475692865824670e+00, 9429555612, 1.33773482857117651e+04, 1.22475692865824670e+00, 9698396329, 1.33773482857117669e+04, 2.44951385731649340e+00, 7147914854, 1.33773482857117651e+04, 1.22475692865824670e+00, 2461940216, 1.33773482857117651e+04, 1.22475692865824670e+00, 1553941998, 1.33773482857117651e+04, 1.22475692865824670e+00, 1604362884, 1.33773482857202507e+04, 5.71471582911937912e+03, 11740843337
17, 107432400246448, 1.33772046048266329e+04, 0.00000000000000000e+00, 304740325427, 1.33772046048176198e+04, 6.06873576342761771e+03, 2263310165, 1.33772046048266347e+04, 1.22477008343645166e+00, 638160342, 1.33772046048266329e+04, 0.00000000000000000e+00, 905710510, 1.33772046048266329e+04, 0.00000000000000000e+00, 9834167958, 1.33772046048266329e+04, 0.00000000000000000e+00, 9821841061, 1.33772046048266347e+04, 1.22477008343645166e+00, 6622681922, 1.33772046048266329e+04, 0.00000000000000000e+00, 2459754371, 1.33772046048266347e+04, 1.22477008343645166e+00, 1656973157, 1.33772046048266329e+04, 0.00000000000000000e+00, 1625197158, 1.33772046048042848e+04, 1.50475252451002452e+04, 11819848499
18, 223413620295979, 1.33775075331608641e+04, 0.00000000000000000e+00, 302604826261, 1.33775075331618427e+04, 6.58911383764870152e+02, 1612547817, 1.33775075331608641e+04, 0.00000000000000000e+00, 598227049, 1.33775075331608641e+04, 0.00000000000000000e+00, 869929446, 1.33775075331608641e+04, 0.00000000000000000e+00, 9270710366, 1.33775075331608641e+04, 0.00000000000000000e+00, 9527420924, 1.33775075331608641e+04, 0.00000000000000000e+00, 6536360984, 1.33775075331608641e+04, 0.00000000000000000e+00, 2428218505, 1.33775075331608641e+04, 0.00000000000000000e+00, 1614834390, 1.33775075331608641e+04, 0.00000000000000000e+00, 1561383030, 1.33775075331510434e+04, 6.61238394227980280e+03, 11621924239
19,  38718330254922, 1.33776655934789578e+04, 0.00000000000000000e+00, 304155165247, 1.33776655934803202e+04, 9.17321180907817734e+02, 2201267227, 1.33776655934789578e+04, 0.00000000000000000e+00, 580253130, 1.33776655934789578e+04, 0.00000000000000000e+00, 842655908, 1.33776655934789578e+04, 0.00000000000000000e+00, 8898734522, 1.33776655934789578e+04, 0.00000000000000000e+00, 9366037077, 1.33776655934789560e+04, 1.22472787838159913e+00, 6525564146, 1.33776655934789578e+04, 0.00000000000000000e+00, 2460594973, 1.33776655934789578e+04, 0.00000000000000000e+00, 1676071015, 1.33776655934789578e+04, 0.00000000000000000e+00, 1514413980, 1.33776655934619430e+04, 1.14561045743814775e+04, 12991758294
20,  69349230660948, 1.33777913968014855e+04, 0.00000000000000000e+00, 303369517340, 1.33777913967979548e+04, 2.37717445703357498e+03, 2724382990, 1.33777913968014855e+04, 0.00000000000000000e+00, 570081381, 1.33777913968014855e+04, 0.00000000000000000e+00, 849262709, 1.33777913968014855e+04, 0.00000000000000000e+00, 9051136219, 1.33777913968014855e+04, 0.00000000000000000e+00, 9689137749, 1.33777913968014836e+04, 1.22471636117134208e+00, 6609551562, 1.33777913968014855e+04, 0.00000000000000000e+00, 2502141310, 1.33777913968014855e+04, 0.00000000000000000e+00, 1610417702, 1.33777913968014836e+04, 1.22471636117134208e+00, 1612871809, 1.33777913967872137e+04, 9.60912456975034911e+03, 11650735705
21,  74576340801069, 1.33769550351033977e+04, 0.00000000000000000e+00, 295930896986, 1.33769550351019097e+04, 1.00188061967993360e+03, 2525636322, 1.33769550351033995e+04, 1.22479293359405084e+00, 540305778, 1.33769550351033977e+04, 0.00000000000000000e+00, 824284071, 1.33769550351033977e+04, 0.00000000000000000e+00, 9000100940, 1.33769550351033977e+04, 0.00000000000000000e+00, 9543668248, 1.33769550351033995e+04, 1.22479293359405084e+00, 6492840426, 1.33769550351033977e+04, 0.00000000000000000e+00, 2341913372, 1.33769550351033995e+04, 1.22479293359405084e+00, 1601145566, 1.33769550351033977e+04, 0.00000000000000000e+00, 1430063837, 1.33769550350915742e+04, 7.96115406836133025e+03, 11447682599
22, 131770223446223, 1.33775850393754226e+04, 0.00000000000000000e+00, 300141181459, 1.33775850393786095e+04, 2.14573616355349122e+03, 1789256683, 1.33775850393754226e+04, 0.00000000000000000e+00, 547583970, 1.33775850393754226e+04, 0.00000000000000000e+00, 872775510, 1.33775850393754226e+04, 0.00000000000000000e+00, 9511677208, 1.33775850393754226e+04, 0.00000000000000000e+00, 9569894649, 1.33775850393754208e+04, 1.22473525316980103e+00, 6546300488, 1.33775850393754226e+04, 0.00000000000000000e+00, 2298408900, 1.33775850393754226e+04, 0.00000000000000000e+00, 1515355485, 1.33775850393754208e+04, 1.22473525316980103e+00, 1431548602, 1.33775850393692235e+04, 4.17389774280268193e+03, 11236367639
23, 148678105992986, 1.33774603793233746e+04, 0.00000000000000000e+00, 301549669614, 1.33774603793248461e+04, 9.90820052847012334e+02, 2081691593, 1.33774603793233764e+04, 1.22474666606552818e+00, 584051133, 1.33774603793233746e+04, 0.00000000000000000e+00, 848753732, 1.33774603793233746e+04, 0.00000000000000000e+00, 9005627471, 1.33774603793233746e+04, 0.00000000000000000e+00, 9429175960, 1.33774603793233764e+04, 1.22474666606552818e+00, 6572393139, 1.33774603793233746e+04, 0.00000000000000000e+00, 2465655086, 1.33774603793233764e+04, 1.22474666606552818e+00, 1610450444, 1.33774603793233746e+04, 0.00000000000000000e+00, 1454020531, 1.33774603793133138e+04, 6.77407381000843634e+03, 11394837394
24, 176742582567176, 1.33775925037958805e+04, 0.00000000000000000e+00, 303979969525, 1.33775925037979632e+04, 1.40232108241277024e+03, 2188970660, 1.33775925037958805e+04, 0.00000000000000000e+00, 550773849, 1.33775925037958805e+04, 0.00000000000000000e+00, 798337011, 1.33775925037958787e+04, 1.22473456979281248e+00, 9026697455, 1.33775925037958787e+04, 1.22473456979281248e+00, 9858556044, 1.33775925037958787e+04, 1.22473456979281248e+00, 6893577781, 1.33775925037958787e+04, 1.22473456979281248e+00, 2458723022, 1.33775925037958805e+04, 0.00000000000000000e+00, 1729798097, 1.33775925037958787e+04, 1.22473456979281248e+00, 1518940793, 1.33775925037718607e+04, 1.61726199941140876e+04, 11421850272
25, 114328562737265, 1.33774629100385409e+04, 0.00000000000000000e+00, 309878334324, 1.33774629100342336e+04, 2.90019955659052721e+03, 1794947480, 1.33774629100385409e+04, 0.00000000000000000e+00, 571202718, 1.33774629100385409e+04, 0.00000000000000000e+00, 853286659, 1.33774629100385428e+04, 1.22474643437099973e+00, 9121655861, 1.33774629100385428e+04, 1.22474643437099973e+00, 9687102258, 1.33774629100385409e+04, 0.00000000000000000e+00, 6557233296, 1.33774629100385446e+04, 2.44949286874199945e+00, 2383812524, 1.33774629100385409e+04, 0.00000000000000000e+00, 1574223945, 1.33774629100385409e+04, 0.00000000000000000e+00, 1440550041, 1.33774629100280636e+04, 7.05453946197695768e+03, 11323132060
