"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
11,  48209008984770, 3.27669793527016409e+04, 0.00000000000000000e+00, 550707917466, 3.27669793526943758e+04, 1.99706220386178666e+03, 1325962984, 3.27669793527016445e+04, 1.00003114865387421e+00, 680851930, 3.27669793527016409e+04, 0.00000000000000000e+00, 16248695189, 3.27669793527016445e+04, 1.00003114865387421e+00, 11035328989, 3.27669793527016409e+04, 0.00000000000000000e+00, 11922096043, 3.27669793527016409e+04, 0.00000000000000000e+00, 3705393236, 3.27669793527016409e+04, 0.00000000000000000e+00, 2424105268, 3.27669793527016445e+04, 1.00003114865387421e+00, 2144502566, 3.27669793526223257e+04, 2.18026791029517663e+04, 20173332096
12,    926644888384, 3.27675866089671508e+04, 0.00000000000000000e+00, 544311764238, 3.27675866089451920e+04, 6.03607614928447583e+03, 1322620911, 3.27675866089671508e+04, 0.00000000000000000e+00, 682937782, 3.27675866089671472e+04, 1.00001261585229884e+00, 16234730284, 3.27675866089671472e+04, 1.00001261585229884e+00, 11025385891, 3.27675866089671472e+04, 1.00001261585229884e+00, 11739204119, 3.27675866089671508e+04, 0.00000000000000000e+00, 3962171978, 3.27675866089671508e+04, 0.00000000000000000e+00, 2412669971, 3.27675866089671508e+04, 0.00000000000000000e+00, 2175572632, 3.27675866089316478e+04, 9.75912311810258507e+03, 20211780085
13, 269742808093568, 3.27683732833288232e+04, 0.00000000000000000e+00, 545189004892, 3.27683732833158501e+04, 3.56595937764932432e+03, 1325178907, 3.27683732833288232e+04, 0.00000000000000000e+00, 659609643, 3.27683732833288232e+04, 0.00000000000000000e+00, 16238860495, 3.27683732833288232e+04, 0.00000000000000000e+00, 11013642498, 3.27683732833288232e+04, 0.00000000000000000e+00, 11763143846, 3.27683732833288304e+04, 1.99997721685323859e+00, 3710096458, 3.27683732833288232e+04, 0.00000000000000000e+00, 2418103843, 3.27683732833288232e+04, 0.00000000000000000e+00, 2171221735, 3.27683732832614041e+04, 1.85317888913621100e+04, 20169761953
14, 133140834589919, 3.27681890521596870e+04, 0.00000000000000000e+00, 544208933275, 3.27681890521423047e+04, 4.77797243389869527e+03, 1322981821, 3.27681890521596870e+04, 0.00000000000000000e+00, 651123027, 3.27681890521596870e+04, 0.00000000000000000e+00, 16252464553, 3.27681890521596870e+04, 0.00000000000000000e+00, 11001422549, 3.27681890521596870e+04, 0.00000000000000000e+00, 11741476607, 3.27681890521596870e+04, 0.00000000000000000e+00, 3704165720, 3.27681890521596870e+04, 0.00000000000000000e+00, 2426608417, 3.27681890521596870e+04, 0.00000000000000000e+00, 2179349331, 3.27681890520853558e+04, 2.04318821200121674e+04, 20170424677
15,    948814433127, 3.27682191588645946e+04, 0.00000000000000000e+00, 544241151038, 3.27682191588215428e+04, 1.18339208523969210e+04, 1324337678, 3.27682191588646019e+04, 1.99998662369391922e+00, 661301913, 3.27682191588645946e+04, 0.00000000000000000e+00, 16250104352, 3.27682191588645946e+04, 0.00000000000000000e+00, 11028057850, 3.27682191588645946e+04, 0.00000000000000000e+00, 11766431183, 3.27682191588645946e+04, 0.00000000000000000e+00, 3703012626, 3.27682191588645946e+04, 0.00000000000000000e+00, 2416869559, 3.27682191588645946e+04, 0.00000000000000000e+00, 2164931890, 3.27682191588026690e+04, 1.70218861542589475e+04, 20310749458
16, 257418450071907, 3.27677988288359338e+04, 0.00000000000000000e+00, 544330808978, 3.27677988287861408e+04, 1.36870840285225422e+04, 1324687804, 3.27677988288359338e+04, 0.00000000000000000e+00, 683946780, 3.27677988288359338e+04, 0.00000000000000000e+00, 16242634078, 3.27677988288359338e+04, 0.00000000000000000e+00, 11018968667, 3.27677988288359265e+04, 2.00001227858881325e+00, 11771376802, 3.27677988288359338e+04, 0.00000000000000000e+00, 3719306675, 3.27677988288359338e+04, 0.00000000000000000e+00, 2415637161, 3.27677988288359338e+04, 0.00000000000000000e+00, 2180321438, 3.27677988287966073e+04, 1.08100663657725345e+04, 20163581000
17, 210415706860389, 3.27679585114884248e+04, 0.00000000000000000e+00, 544464554358, 3.27679585114688634e+04, 5.37700680798367921e+03, 1322773106, 3.27679585114884248e+04, 0.00000000000000000e+00, 672363981, 3.27679585114884212e+04, 1.00000126613049645e+00, 16257893768, 3.27679585114884212e+04, 1.00000126613049645e+00, 11023298900, 3.27679585114884248e+04, 0.00000000000000000e+00, 11763117605, 3.27679585114884212e+04, 1.00000126613049645e+00, 3713229126, 3.27679585114884212e+04, 1.00000126613049645e+00, 2421692713, 3.27679585114884248e+04, 0.00000000000000000e+00, 2167755931, 3.27679585114266993e+04, 1.69670214824361319e+04, 20220162122
18, 188935437690893, 3.27677481874608238e+04, 0.00000000000000000e+00, 544162266040, 3.27677481874492514e+04, 3.18102444524666544e+03, 1323383088, 3.27677481874608238e+04, 0.00000000000000000e+00, 656799344, 3.27677481874608238e+04, 0.00000000000000000e+00, 16260781473, 3.27677481874608238e+04, 0.00000000000000000e+00, 11028168588, 3.27677481874608202e+04, 1.00000768476789226e+00, 11762737822, 3.27677481874608238e+04, 0.00000000000000000e+00, 3711100165, 3.27677481874608202e+04, 1.00000768476789226e+00, 2417802344, 3.27677481874608275e+04, 1.00000768476789226e+00, 2161201850, 3.27677481874192672e+04, 1.14230877831036341e+04, 20185732639
19, 217646148643322, 3.27680691365018356e+04, 0.00000000000000000e+00, 544449743879, 3.27680691364771919e+04, 6.77398570771254526e+03, 1322927496, 3.27680691365018283e+04, 1.99999578025171099e+00, 675055597, 3.27680691365018356e+04, 0.00000000000000000e+00, 16242873846, 3.27680691365018356e+04, 0.00000000000000000e+00, 11009245168, 3.27680691365018356e+04, 0.00000000000000000e+00, 11765752587, 3.27680691365018356e+04, 0.00000000000000000e+00, 3716655898, 3.27680691365018356e+04, 0.00000000000000000e+00, 2418257579, 3.27680691365018283e+04, 1.99999578025171099e+00, 2145641934, 3.27680691364450613e+04, 1.56059670733041021e+04, 20190768380
20, 199941492037421, 3.27684390398392934e+04, 0.00000000000000000e+00, 544428747079, 3.27684390398232572e+04, 4.40794094050042349e+03, 1333863618, 3.27684390398392934e+04, 0.00000000000000000e+00, 686028714, 3.27684390398392861e+04, 1.99997320349384000e+00, 16270998383, 3.27684390398392861e+04, 1.99997320349384000e+00, 11036955830, 3.27684390398392934e+04, 0.00000000000000000e+00, 11768749766, 3.27684390398392861e+04, 1.99997320349384000e+00, 3706139102, 3.27684390398392934e+04, 0.00000000000000000e+00, 2429305144, 3.27684390398392934e+04, 0.00000000000000000e+00, 2175793054, 3.27684390398201067e+04, 5.27392933761325548e+03, 20359135386
